Id	prop1	chance1	par1	*skillname1	min1	max1	prop2	chance2	par2	*skillname2	min2	max2	prop3	chance3	par3	*skillname3	min3	max3	prop4	chance4	par4	*skillname4	min4	max4	prop5	chance5	par5	*skillname5	min5	max5	prop6	chance6	par6	*skillname6	min6	max6	prop1 (N)	chance1 (N)	par1 (N)	*skillname1 (N)	min1 (N)	max1 (N)	prop2 (N)	chance2 (N)	par2 (N)	*skillname2 (N)	min2 (N)	max2 (N)	prop3 (N)	chance3 (N)	par3 (N)	*skillname3 (N)	min3 (N)	max3 (N)	prop4 (N)	chance4 (N)	par4 (N)	*skillname4 (N)	min4 (N)	max4 (N)	prop5 (N)	chance5 (N)	par5 (N)	*skillname5 (N)	min5 (N)	max5 (N)	prop6 (N)	chance6 (N)	par6 (N)	*skillname6 (N)	min6 (N)	max6 (N)	prop1 (H)	chance1 (H)	par1 (H)	*skillname1 (H)	min1 (H)	max1 (H)	prop2 (H)	chance2 (H)	par2 (H)	*skillname2 (H)	min2 (H)	max2 (H)	prop3 (H)	chance3 (H)	par3 (H)	*skillname3 (H)	min3 (H)	max3 (H)	prop4 (H)	chance4 (H)	par4 (H)	*skillname4 (H)	min4 (H)	max4 (H)	prop5 (H)	chance5 (H)	par5 (H)	*skillname5 (H)	min5 (H)	max5 (H)	prop6 (H)	chance6 (H)	par6 (H)	*skillname6 (H)	min6 (H)	max6 (H)	*eol
monchargedclaws	monrandombonus	20			20	20	att-skill		272	Charged Claws Mon	25	1																									monrandombonus	30			40	40	att-skill		272	Charged Claws Mon	25	1																									monrandombonus	40			60	60	att-skill		272	Charged Claws Mon	25	1																									0
diablo	monrandombonus	20			20	20	swing2				30	30	cast2				30	30	pierce-res-all				10	10													monrandombonus	30			40	40	pierce-res-all				20	20	swing2				50	50	cast2				50	50													monrandombonus	40			60	60	pierce-res-all				30	30	swing2				80	80	cast2				80	80													0
monspeedbuff	monrandombonus	20			20	20	gethit-skill		275	Speed Buff Mon	5	1																									monrandombonus	30			40	40	gethit-skill		275	Speed Buff Mon	5	10																									monrandombonus	40			60	60	gethit-skill		275	Speed Buff Mon	5	25																									0
monvolcanodeath	monrandombonus	20			20	20	death-skill		276	Volcano Death Mon	100	1																									monrandombonus	30			40	40	death-skill		276	Volcano Death Mon	100	1																									monrandombonus	40			60	60	death-skill		276	Volcano Death Mon	100	1																									0
monizual	monrandombonus	20			20	20	att-skill		442	Hailstorm	50	5	nofreeze				1	1	freeze				3	3	gethit-skill		277	Frost Nova Mon	3	1							monrandombonus	30			40	40	att-skill		442	Hailstorm	50	5	nofreeze				1	1	freeze				3	3	gethit-skill		277	Frost Nova Mon	4	1							monrandombonus	40			60	60	att-skill		442	Hailstorm	50	5	nofreeze				1	1	freeze				3	3	gethit-skill		277	Frost Nova Mon	5	1							0
monimp	monrandombonus	20			20	20	death-skill		278	Immolation Mon	100	1																									monrandombonus	30			40	40	death-skill		278	Immolation Mon	100	1																									monrandombonus	40			60	60	death-skill		278	Immolation Mon	100	1																									0
monhellbovinelightning	monrandombonus	20			20	20	att-skill		279	Lightning Strike Mon	20	1																									monrandombonus	30			40	40	att-skill		279	Lightning Strike Mon	30	1																									monrandombonus	40			60	60	att-skill		279	Lightning Strike Mon	40	1																									0
monhellbovinecold	monrandombonus	20			20	20	att-skill		280	Cold Strike Mon	20	1																									monrandombonus	30			40	40	att-skill		280	Cold Strike Mon	30	1																									monrandombonus	40			60	60	att-skill		280	Cold Strike Mon	40	1																									0
monhellbovinefire	monrandombonus	20			20	20	att-skill		273	Fire Claws Mon	20	1																									monrandombonus	30			40	40	att-skill		273	Fire Claws Mon	30	1																									monrandombonus	40			60	60	att-skill		273	Fire Claws Mon	40	1																									0
monhellbovinepoison	monrandombonus	20			20	20	death-skill		289	Poison Explosion Mon	100	1																									monrandombonus	30			40	40	death-skill		289	Poison Explosion Mon	100	1																									monrandombonus	40			60	60	death-skill		289	Poison Explosion Mon	100	1																									0
monenslaved	monrandombonus	20			20	20	gethit-skill		292	Damage Frenzy Mon	5	1	gethit-skill		296	Speed Frenzy Mon	5	1																			monrandombonus	30			40	40	gethit-skill		292	Damage Frenzy Mon	5	15	gethit-skill		296	Speed Frenzy Mon	5	15																			monrandombonus	40			60	60	gethit-skill		292	Damage Frenzy Mon	5	25	gethit-skill		296	Speed Frenzy Mon	5	25																			0
moncoldstun	monrandombonus	20			20	20	att-skill		298	Cold Stun Mon	25	1	crush				20	20																			monrandombonus	30			40	40	att-skill		298	Cold Stun Mon	35	1	crush				35	35																			monrandombonus	40			60	60	att-skill		298	Cold Stun Mon	50	1	crush				50	50																			0
baal	monrandombonus	20			20	20	swing2				30	30	cast2				30	30	pierce-res-all				10	10													monrandombonus	30			40	40	pierce-res-all				20	20	swing2				50	50	cast2				50	50													monrandombonus	40			60	60	pierce-res-all				30	30	swing2				80	80	cast2				80	80													0
monenslavedslow	monrandombonus	20			20	20	gethit-skill		292	Damage Frenzy Mon	5	1	gethit-skill		296	Speed Frenzy Mon	5	1	slow				30	30													monrandombonus	30			40	40	gethit-skill		292	Damage Frenzy Mon	5	15	gethit-skill		296	Speed Frenzy Mon	5	15	slow				40	40													monrandombonus	40			60	60	gethit-skill		292	Damage Frenzy Mon	5	25	gethit-skill		296	Speed Frenzy Mon	5	25	slow				50	50													0
moncrushandenrage	monrandombonus	20			20	20	crush				25	25	gethit-skill		292	Damage Frenzy Mon	5	1	gethit-skill		296	Speed Frenzy Mon	5	1													monrandombonus	30			40	40	crush				50	50	gethit-skill		292	Damage Frenzy Mon	5	15	gethit-skill		296	Speed Frenzy Mon	5	15													monrandombonus	40			60	60	crush				75	75	gethit-skill		292	Damage Frenzy Mon	5	25	gethit-skill		296	Speed Frenzy Mon	5	25													0
monsnova	monrandombonus	20			20	20	gethit-skill		270	SNova Mon	10	1	death-skill		270	SNova Mon	100	1																			monrandombonus	30			40	40	gethit-skill		270	SNova Mon	10	1	death-skill		270	SNova Mon	100	1																			monrandombonus	40			60	60	gethit-skill		270	SNova Mon	10	1	death-skill		270	SNova Mon	100	1																			0
monelectrocuter	monrandombonus	20			20	20	gethit-skill		270	SNova Mon	3	1	crush				10	10	att-skill		274	Zeal Mon Aoe	25	1	att-skill		320	Chain Lightning Mon	25	1	aura		548	Holy Shock	15	15	monrandombonus	30			40	40	gethit-skill		270	SNova Mon	4	1	crush				20	20	att-skill		274	Zeal Mon Aoe	25	5	att-skill		320	Chain Lightning Mon	25	5	aura		548	Holy Shock	20	20	monrandombonus	40			60	60	gethit-skill		270	SNova Mon	5	1	crush				30	30	att-skill		274	Zeal Mon Aoe	25	15	att-skill		320	Chain Lightning Mon	25	15	aura		548	Holy Shock	25	25	0
monspikenova	monrandombonus	20			20	20	death-skill		221	Spike Nova Mon	100	1																									monrandombonus	30			40	40	death-skill		221	Spike Nova Mon	100	1																									monrandombonus	40			60	60	death-skill		221	Spike Nova Mon	100	1																									0
andariel	monrandombonus	20			20	20	haste				10	10	cast2				10	10																			monrandombonus	30			40	40	haste				20	20	cast2				20	20																			monrandombonus	40			60	60	haste				30	30	cast2				30	30																			0
monwhirlwind	monrandombonus	20			20	20	att-skill		151	Attack Speed Buff Mon Uber	50	1	crush				5	5																			monrandombonus	30			40	40	att-skill		151	Attack Speed Buff Mon Uber	50	15	crush				10	10																			monrandombonus	40			60	60	att-skill		151	Attack Speed Buff Mon Uber	50	30	crush				15	15																			0
monfuyushogun	monrandombonus	20			20	20	death-skill		601	Frozen Blast	100	10	pierce-cold				15	15																			monrandombonus	30			40	40	death-skill		601	Frozen Blast	100	25	pierce-cold				25	25																			monrandombonus	40			60	60	death-skill		601	Frozen Blast	100	40	pierce-cold				35	35																			0
monnamahage	monrandombonus	20			20	20	gethit-skill		292	Damage Frenzy Mon	5	1	abs-elem%				10	10	slow				30	30													monrandombonus	30			40	40	gethit-skill		292	Damage Frenzy Mon	5	10	abs-elem%				20	20	slow				40	40													monrandombonus	40			60	60	gethit-skill		292	Damage Frenzy Mon	5	25	abs-elem%				30	30	slow				50	50													0
uberduriel	monrandombonus	20			20	20	haste				10	10	aura		853	Holy Freeze Old Boss	5	5																			monrandombonus	30			40	40	haste				20	20	aura		853	Holy Freeze Old Boss	8	8																			haste				30	30	aura		853	Holy Freeze Old Boss	30	30	att-skill		326	Cataclysm Mon	50	80	kill-skill		128	Uber Heal On Kill	100	1													0
uberizual	monrandombonus	20			20	20	haste				10	10																									monrandombonus	30			40	40	haste				20	20																									haste				30	30	hit-skill		91	Lower Resist Old	50	40	kill-skill		128	Uber Heal On Kill	100	1																			0
uberandariel	monrandombonus	20			20	20	haste				10	10																									monrandombonus	30			40	40	haste				20	20																									haste				30	30	att-skill		325	Poison Nova Mon	50	1	hit-skill		515	Poison Mastery	50	40	kill-skill		128	Uber Heal On Kill	100	1													0
uberdiablo	monrandombonus	20			20	20	haste				10	10																									monrandombonus	30			40	40	haste				20	20																									death-skill		347	Extra Loot Uber	100	2	pierce-res-all				50	50	kill-skill		128	Uber Heal On Kill	100	1	death-skill		811	Just Killed Boss	100	2													0
ubermephisto	monrandombonus	20			20	20	haste				10	10																									monrandombonus	30			40	40	haste				20	20																									death-skill		347	Extra Loot Uber	100	2	pierce-res-all				50	50	kill-skill		128	Uber Heal On Kill	100	1	death-skill		812	Just Killed Boss Second	100	3													0
uberbaal	monrandombonus	20			20	20	haste				10	10																									monrandombonus	30			40	40	haste				20	20																									death-skill		347	Extra Loot Uber	100	2	pierce-res-all				50	50	kill-skill		128	Uber Heal On Kill	100	1	death-skill		813	Just Killed Boss Third	100	4													0
diabloclone	monrandombonus	20			20	20	haste				10	10																									monrandombonus	30			40	40	haste				20	20																									monrandombonus	40			60	60	haste				30	30	death-skill		347	Extra Loot Uber	100	1	pierce-res-all				30	30	kill-skill		128	Uber Heal On Kill	100	1							0
steelmaiden	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250																			monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250																			monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250																			0
deathstalker	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	death-skill		139	Tri Elemental Explosion Mon Uber	100	1													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	death-skill		139	Tri Elemental Explosion Mon Uber	100	1													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	death-skill		139	Tri Elemental Explosion Mon Uber	100	1													0
soulpiercer	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	pierce				50	50	pierce-res-all				50	50	haste				50	50	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	pierce				50	50	pierce-res-all				50	50	haste				50	50	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	pierce				50	50	pierce-res-all				50	50	haste				50	50	0
voidwhisper	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	takedmg-skill		479	Teleport	10	20													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	takedmg-skill		479	Teleport	10	20													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	takedmg-skill		479	Teleport	10	20													0
thunderwhipper	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	att-skill		140	Thunder Whip Mon Uber	100	1													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	att-skill		140	Thunder Whip Mon Uber	100	1													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	att-skill		140	Thunder Whip Mon Uber	100	1													0
ignisfatuus	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	pierce-ltng				50	50													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	pierce-ltng				50	50													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	pierce-ltng				50	50													0
stonewarden	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	red-dmg				3500	3500	red-mag				3500	3500	att-skill		141	Cataclysm Mon Uber	50	1	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	red-dmg				3500	3500	red-mag				3500	3500	att-skill		141	Cataclysm Mon Uber	50	1	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	red-dmg				3500	3500	red-mag				3500	3500	att-skill		141	Cataclysm Mon Uber	25	1	0
heraldofchaos	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	takedmg-skill		479	Teleport	1	20													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	takedmg-skill		479	Teleport	1	20													monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	takedmg-skill		479	Teleport	1	20													0
hellishcrusader	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	aura		1118	Fanaticism Mon Uber	1	1	att-skill		144	Zeal Mon Uber	50	1							monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	aura		1118	Fanaticism Mon Uber	1	1	att-skill		144	Zeal Mon Uber	50	1							monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250	aura		1118	Fanaticism Mon Uber	1	1	att-skill		144	Zeal Mon Uber	50	1							0
spiritweaver	monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250																			monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250																			monrandombonus	20			100	100	monrandomelemdambonus	20			500	500	dmg-mag	20			250	250																			0
