index	code_name	code_normal	sets_normal	sets_exceptional	sets_elite	uniques_normal	uniques_exceptional	uniques_elite
72	cbw	bow/composite_bow						
73	sbb	bow/short_battle_bow						
74	lbb	bow/long_battle_bow						
75	swb	bow/short_war_bow						
76	lwb	bow/long_war_bow						
77	lxb	bow/light_crossbow						
78	mxb	bow/crossbow						
79	hxb	bow/heavy_crossbow						
80	rxb	bow/repeating_crossbow						
81	gps	potion/rancid_gas_potion						
82	ops	potion/oil_potion						
83	gpm	potion/choking_gas_potion						
84	opm	potion/exploding_potion						
85	gpl	potion/strangling_gas_potion						
86	opl	potion/fulminating_potion						
87	d33	knife/decoy_dagger						
88	g33	knife/gidbinn						
89	leg	club/wirts_leg						
90	hdm	hammer/horadric_malus						
91	hfh	hammer/hellforge_hammer						
92	hst	staff/horadric_staff						
93	msf	staff/staff_of_the_kings						
94	9ha	axe/hand_axe						
95	9ax	axe/axe						
96	92a	axe/double_axe						
97	9mp	axe/military_pick						
98	9wa	axe/war_axe						
99	9la	axe/large_axe						
100	9ba	axe/broad_axe						
101	9bt	axe/battle_axe						
102	9ga	axe/great_axe						
103	9gi	axe/giant_axe						
104	9wn	wand/wand						
105	9yw	wand/yew_wand						
106	9bw	wand/bone_wand						
107	9gw	wand/grim_wand						
108	9cl	club/club						
109	9sc	scepter/scepter						
110	9qs	scepter/grand_scepter						
111	9ws	scepter/war_scepter						
112	9sp	club/spiked_club						
113	9ma	mace/mace						
114	9mt	mace/morning_star						
115	9fl	mace/flail						
116	9wh	hammer/war_hammer						
117	9m9	hammer/maul						
118	9gm	hammer/great_maul						
119	9ss	sword/short_sword						
120	9sm	sword/scimitar						
121	9sb	sword/saber						
122	9fc	sword/falchion						
123	9cr	sword/crystal_sword						
124	9bs	sword/broad_sword						
125	9ls	sword/long_sword						
126	9wd	sword/war_sword						
127	92h	sword/two_handed_sword						
128	9cm	sword/claymore						
129	9gs	sword/giant_sword						
130	9b9	sword/bastard_sword						
131	9fb	sword/flamberge						
132	9gd	sword/great_sword						
133	9dg	knife/dagger						
134	9di	knife/dirk						
135	9kr	knife/kriss						
136	9bl	knife/blade						
137	9tk	knife/throwing_knife						
138	9ta	axe/throwing_axe						
139	9bk	knife/balanced_knife						
140	9b8	axe/balanced_axe						
141	9ja	javelin/javelin						
142	9pi	javelin/pilum						
143	9s9	javelin/short_spear						
144	9gl	javelin/glaive						
145	9ts	javelin/throwing_spear						
146	9sr	spear/spear						
147	9tr	spear/trident						
148	9br	spear/brandistock						
149	9st	spear/spetum						
150	9p9	spear/pike						
151	9b7	polearm/bardiche						
152	9vo	polearm/voulge						
153	9s8	polearm/scythe						
154	9pa	polearm/poleaxe						
155	9h9	polearm/halberd						
156	9wc	polearm/war_scythe						
157	8ss	staff/short_staff						
158	8ls	staff/long_staff						
159	8cs	staff/gnarled_staff						
160	8bs	staff/battle_staff						
161	8ws	staff/war_staff						
162	8sb	bow/short_bow						
163	8hb	bow/hunters_bow						
164	8lb	bow/long_bow						
165	8cb	bow/composite_bow						
166	8s8	bow/short_battle_bow						
167	8l8	bow/long_battle_bow						
168	8sw	bow/short_war_bow						
169	8lw	bow/long_war_bow						
170	8lx	bow/light_crossbow						
171	8mx	bow/crossbow						
172	8hx	bow/heavy_crossbow						
173	8rx	bow/repeating_crossbow						
174	qf1	mace/khalim_flail						
175	qf2	mace/super_khalim_flail						
176	ktr	h2h/katar						
177	wrb	h2h/katar						
178	axf	h2h/hatchet_hands						
179	ces	h2h/hatchet_hands						
180	clw	h2h/claws						
181	btl	h2h/claws						
182	skr	h2h/scissors_katar						
183	9ar	h2h/katar						
184	9wb	h2h/katar						
185	9xf	h2h/hatchet_hands						
186	9cs	h2h/hatchet_hands						
187	9lw	h2h/claws						
188	9tw	h2h/claws						
189	9qr	h2h/scissors_katar						
190	7ar	h2h/katar						
191	7wb	h2h/katar						
192	7xf	h2h/hatchet_hands						
193	7cs	h2h/hatchet_hands						
194	7lw	h2h/claws						
195	7tw	h2h/claws						
196	7qr	h2h/scissors_katar						
197	7ha	axe/hand_axe						
198	7ax	axe/axe						
199	72a	axe/double_axe						
200	7mp	axe/military_pick						
201	7wa	axe/war_axe						
202	7la	axe/large_axe						
203	7ba	axe/broad_axe						
204	7bt	axe/battle_axe						
205	7ga	axe/great_axe						
206	7gi	axe/giant_axe						
207	7wn	wand/wand						
208	7yw	wand/yew_wand						
209	7bw	wand/bone_wand						
210	7gw	wand/grim_wand						
211	7cl	club/club						
212	7sc	scepter/scepter						
213	7qs	scepter/grand_scepter						
214	7ws	scepter/war_scepter						
215	7sp	club/spiked_club						
216	7ma	mace/mace						
217	7mt	mace/morning_star						
218	7fl	mace/flail						
219	7wh	hammer/war_hammer						
220	7m7	hammer/maul						
221	7gm	hammer/great_maul						
222	7ss	sword/short_sword						
223	7sm	sword/scimitar						
224	7sb	sword/saber						
225	7fc	sword/falchion						
226	7cr	sword/crystal_sword						
227	7bs	sword/broad_sword						
228	7ls	sword/long_sword						
229	7wd	sword/war_sword						
230	72h	sword/two_handed_sword						
231	7cm	sword/claymore						
232	7gs	sword/giant_sword						
233	7b7	sword/bastard_sword						
234	7fb	sword/flamberge						
235	7gd	sword/great_sword						
236	7dg	knife/dagger						
237	7di	knife/dirk						
238	7kr	knife/kriss						
239	7bl	knife/blade						
240	7tk	knife/throwing_knife						
241	7ta	axe/throwing_axe						
242	7bk	knife/balanced_knife						
243	7b8	axe/balanced_axe						
244	7ja	javelin/javelin						
245	7pi	javelin/pilum						
246	7s7	javelin/short_spear						
247	7gl	javelin/glaive						
248	7ts	javelin/throwing_spear						
249	7sr	spear/spear						
250	7tr	spear/trident						
251	7br	spear/brandistock						
252	7st	spear/spetum						
253	7p7	spear/pike						
254	7o7	polearm/bardiche						
255	7vo	polearm/voulge						
256	7s8	polearm/scythe						
257	7pa	polearm/poleaxe						
258	7h7	polearm/halberd						
259	7wc	polearm/war_scythe						
260	6ss	staff/short_staff						
261	6ls	staff/long_staff						
262	6cs	staff/gnarled_staff						
263	6bs	staff/battle_staff						
264	6ws	staff/war_staff						
265	6sb	bow/short_bow						
266	6hb	bow/hunters_bow						
267	6lb	bow/long_bow						
268	6cb	bow/composite_bow						
269	6s7	bow/short_battle_bow						
270	6l7	bow/long_battle_bow						
271	6sw	bow/short_war_bow						
272	6lw	bow/long_war_bow						
273	6lx	bow/light_crossbow						
274	6mx	bow/crossbow						
275	6hx	bow/heavy_crossbow						
276	6rx	bow/repeating_crossbow						
277	ob1	orb/eagle_orb						
278	ob2	orb/sacred_globe						
279	ob3	orb/smoked_sphere						
280	ob4	orb/clasped_orb						
281	ob5	orb/dragon_stone						
282	am1	bow/stag_bow						
283	am2	bow/reflex_bow						
284	am3	spear/maiden_spear						
285	am4	spear/maiden_pike						
286	am5	javelin/maiden_javelin						
287	ob6	orb/eagle_orb						
288	ob7	orb/sacred_globe						
289	ob8	orb/smoked_sphere						
290	ob9	orb/clasped_orb						
291	oba	orb/dragon_stone						
292	am6	bow/stag_bow						
293	am7	bow/reflex_bow						
294	am8	spear/maiden_spear						
295	am9	spear/maiden_pike						
296	ama	javelin/maiden_javelin						
297	obb	orb/eagle_orb						
298	obc	orb/sacred_globe						
299	obd	orb/smoked_sphere						
300	obe	orb/clasped_orb						
301	obf	orb/dragon_stone						
302	amb	bow/stag_bow						
303	amc	bow/reflex_bow						
304	amd	spear/maiden_spear						
305	ame	spear/maiden_pike						
306	amf	javelin/maiden_javelin						
307	cap	helmet/cap_hat						
308	skp	helmet/skull_cap						
309	hlm	helmet/helm						
310	fhl	helmet/full_helm						
311	ghm	helmet/great_helm						
312	crn	helmet/crown						
313	msk	helmet/mask						
314	qui	armor/quilted_armor						
315	lea	armor/leather_armor						
316	hla	armor/hard_leather_armor						
317	stu	armor/studded_leather						
318	rng	armor/ring_mail						
319	scl	armor/scale_mail						
320	chn	armor/chain_mail						
321	brs	armor/breast_plate						
322	spl	armor/splint_mail						
323	plt	armor/plate_mail						
324	fld	armor/field_plate						
325	gth	armor/gothic_plate						
326	ful	armor/full_plate_mail						
327	aar	armor/ancient_armor						
328	ltp	armor/light_plate						
329	buc	shield/buckler						
330	sml	shield/small_shield						
331	lrg	shield/large_shield						
332	kit	shield/kite_shield						
333	tow	shield/tower_shield						
334	gts	shield/gothic_shield						
335	lgl	glove/gloves_l						
336	vgl	glove/heavy_gloves						
337	mgl	glove/bracers_m						
338	tgl	glove/light_gauntlets						
339	hgl	glove/gaunlets_h						
340	lbt	boot/leather_boots						
341	vbt	boot/heavy_boots						
342	mbt	boot/chain_boots						
343	tbt	boot/light_plate_boots						
344	hbt	boot/plate_boots						
345	lbl	belt/sash_l						
346	vbl	belt/light_belt						
347	mbl	belt/belt_m						
348	tbl	belt/heavy_belt						
349	hbl	belt/girdle_h						
350	bhm	helmet/bone_helm						
351	bsh	shield/bone_shield						
352	spk	shield/spiked_shield						
353	xap	helmet/cap_hat						
354	xkp	helmet/skull_cap						
355	xlm	helmet/helm						
356	xhl	helmet/full_helm						
357	xhm	helmet/great_helm						
358	xrn	helmet/crown						
359	xsk	helmet/mask						
360	xui	armor/quilted_armor						
361	xea	armor/leather_armor						
362	xla	armor/hard_leather_armor						
363	xtu	armor/studded_leather						
364	xng	armor/ring_mail						
365	xcl	armor/scale_mail						
366	xhn	armor/chain_mail						
367	xrs	armor/breast_plate						
368	xpl	armor/splint_mail						
369	xlt	armor/plate_mail						
370	xld	armor/field_plate						
371	xth	armor/gothic_plate						
372	xul	armor/full_plate_mail						
373	xar	armor/ancient_armor						
374	xtp	armor/light_plate						
375	xuc	shield/buckler						
376	xml	shield/small_shield						
377	xrg	shield/large_shield						
378	xit	shield/kite_shield						
379	xow	shield/tower_shield						
380	xts	shield/gothic_shield						
381	xlg	glove/gloves_l						
382	xvg	glove/heavy_gloves						
383	xmg	glove/bracers_m						
384	xtg	glove/light_gauntlets						
385	xhg	glove/gaunlets_h						
386	xlb	boot/leather_boots						
387	xvb	boot/heavy_boots						
388	xmb	boot/chain_boots						
389	xtb	boot/light_plate_boots						
390	xhb	boot/plate_boots						
391	zlb	belt/sash_l						
392	zvb	belt/light_belt						
393	zmb	belt/belt_m						
394	ztb	belt/heavy_belt						
395	zhb	belt/girdle_h						
396	xh9	helmet/bone_helm						
397	xsh	shield/bone_shield						
398	xpk	shield/spiked_shield						
399	dr1	pelt/wolf_head						
400	dr2	pelt/hawk_helm						
401	dr3	pelt/antlers						
402	dr4	pelt/falcon_mask						
403	dr5	pelt/spirit_mask						
404	ba1	helmet/jawbone_cap						
405	ba2	helmet/fanged_helm						
406	ba3	helmet/horned_helm						
407	ba4	helmet/assault_helmet						
408	ba5	helmet/avenger_guard						
409	pa1	shield/targe						
410	pa2	shield/rondache						
411	pa3	shield/heraldic_shield						
412	pa4	shield/aerin_shield						
413	pa5	shield/crown_shield						
414	ne1	voodoo_head/preserved_head						
415	ne2	voodoo_head/zombie_head						
416	ne3	voodoo_head/unraveller_head						
417	ne4	voodoo_head/gargoyle_head						
418	ne5	voodoo_head/demon_head						
419	ci0	circlet/circlet						
420	ci1	circlet/coronet						
421	ci2	circlet/tiara						
422	ci3	circlet/diadem						
423	uap	helmet/cap_hat						
424	ukp	helmet/skull_cap						
425	ulm	helmet/helm						
426	uhl	helmet/full_helm						
427	uhm	helmet/great_helm						
428	urn	helmet/crown						
429	usk	helmet/mask						
430	uui	armor/quilted_armor						
431	uea	armor/leather_armor						
432	ula	armor/hard_leather_armor						
433	utu	armor/studded_leather						
434	ung	armor/ring_mail						
435	ucl	armor/scale_mail						
436	uhn	armor/chain_mail						
437	urs	armor/breast_plate						
438	upl	armor/splint_mail						
439	ult	armor/plate_mail						
440	uld	armor/field_plate						
441	uth	armor/gothic_plate						
442	uul	armor/full_plate_mail						
443	uar	armor/ancient_armor						
444	utp	armor/light_plate						
445	uuc	shield/buckler						
446	uml	shield/small_shield						
447	urg	shield/large_shield						
448	uit	shield/kite_shield						
449	uow	shield/tower_shield						
450	uts	shield/gothic_shield						
451	ulg	glove/gloves_l						
452	uvg	glove/heavy_gloves						
453	umg	glove/bracers_m						
454	utg	glove/light_gauntlets						
455	uhg	glove/gaunlets_h						
456	ulb	boot/leather_boots						
457	uvb	boot/heavy_boots						
458	umb	boot/chain_boots						
459	utb	boot/light_plate_boots						
460	uhb	boot/plate_boots						
461	ulc	belt/sash_l						
462	uvc	belt/light_belt						
463	umc	belt/belt_m						
464	utc	belt/heavy_belt						
465	uhc	belt/girdle_h						
466	uh9	helmet/bone_helm						
467	ush	shield/bone_shield						
468	upk	shield/spiked_shield						
469	dr6	pelt/wolf_head						
470	dr7	pelt/hawk_helm						
471	dr8	pelt/antlers						
472	dr9	pelt/falcon_mask						
473	dra	pelt/spirit_mask						
474	ba6	helmet/jawbone_cap						
475	ba7	helmet/fanged_helm						
476	ba8	helmet/horned_helm						
477	ba9	helmet/assault_helmet						
478	baa	helmet/avenger_guard						
479	pa6	shield/targe						
480	pa7	shield/rondache						
481	pa8	shield/heraldic_shield						
482	pa9	shield/aerin_shield						
483	paa	shield/crown_shield						
484	ne6	voodoo_head/preserved_head						
485	ne7	voodoo_head/zombie_head						
486	ne8	voodoo_head/unraveller_head						
487	ne9	voodoo_head/gargoyle_head						
488	nea	voodoo_head/demon_head						
489	drb	pelt/wolf_head						
490	drc	pelt/hawk_helm						
491	drd	pelt/antlers						
492	dre	pelt/falcon_mask						
493	drf	pelt/spirit_mask						
494	bab	helmet/jawbone_cap						
495	bac	helmet/fanged_helm						
496	bad	helmet/horned_helm						
497	bae	helmet/assault_helmet						
498	baf	helmet/avenger_guard						
499	pab	shield/targe						
500	pac	shield/rondache						
501	pad	shield/heraldic_shield						
502	pae	shield/aerin_shield						
503	paf	shield/crown_shield						
504	neb	voodoo_head/preserved_head						
505	neg	voodoo_head/zombie_head						
506	ned	voodoo_head/unraveller_head						
507	nee	voodoo_head/gargoyle_head						
508	nef	voodoo_head/demon_head						
509	elx	potion/elixir						
510	hpo	potion/healing_potion						
511	mpo	potion/mana_potion						
512	hpf	potion/full_healing_potion						
513	mpf	potion/full_mana_potion						
514	vps	potion/stamina_potion						
515	yps	potion/antidote_potion						
516	rvs	potion/rejuv_potion						
517	rvl	potion/full_rejuv_potion						
518	wms	potion/thawing_potion						
519	tbk	book/town_portal_book						
520	ibk	book/identify_book						
521	amu	amulet/amulet						
522	vip	amulet/viper_amulet						
523	rin	ring/ring						
524	gld	gold/gold						
525	bks	quest/bark_scroll						
526	bkd	scroll/deciphered_bark_scroll						
527	aq2	bow/arrows2						
528	tch	torch/torch						
529	cq2	bow/bolts2						
530	tsc	scroll/town_portal_scroll						
531	isc	scroll/identify_scroll						
532	hrt	body_part/heart						
533	brz	body_part/brain						
534	jaw	body_part/jawbone						
535	eyz	body_part/eye						
536	hrn	body_part/horn						
537	tal	body_part/tail						
538	flg	body_part/flag						
539	fng	body_part/fang						
540	qll	body_part/quill						
541	sol	body_part/spleen						
542	scz	quest/scalp						
543	spe	body_part/soul						
544	key	key/skeleton_key						
545	luv	key/mephisto_key						
546	xyz	quest/scroll_of_self_resurrect						
547	j34	quest/jade_figurine						
548	g34	quest/gold_bird						
549	bbb	quest/lam_esens_tome						
550	box	quest/horadric_cube						
551	tr1	quest/scroll_of_horadric_quest_info						
552	mss	quest/mephisto_soul_stone						
553	ass	quest/book_of_skill						
554	qey	body_part/eye						
555	qhr	body_part/heart						
556	qbr	body_part/brain						
557	ear	body_part/player_ear						
558	gcv	gem/chipped_amethyst						
559	gfv	gem/flawed_amethyst						
560	gsv	gem/amethyst						
561	gzv	gem/flawless_amethyst						
562	gpv	gem/blemished_amethyst						
563	gvb	gem/perfect_amethyst						
564	gcy	gem/chipped_topaz						
565	gfy	gem/flawed_topaz						
566	gsy	gem/topaz						
567	gly	gem/flawless_topaz						
568	gpy	gem/blemished_topaz						
569	gyb	gem/perfect_topaz						
570	gcb	gem/chipped_saphire						
571	gfb	gem/flawed_saphire						
572	gsb	gem/saphire						
573	glb	gem/flawless_saphire						
574	gpb	gem/blemished_saphire						
575	gbb	gem/perfect_saphire						
576	gcg	gem/chipped_emerald						
577	gfg	gem/flawed_emerald						
578	gsg	gem/emerald						
579	glg	gem/flawless_emerald						
580	gpg	gem/blemished_emerald						
581	ggb	gem/perfect_emerald						
582	gcr	gem/chipped_ruby						
583	gfr	gem/flawed_ruby						
584	gsr	gem/ruby						
585	glr	gem/flawless_ruby						
586	gpr	gem/blemished_ruby						
587	grb	gem/perfect_ruby						
588	gcw	gem/chipped_diamond						
589	gfw	gem/flawed_diamond						
590	gsw	gem/diamond						
591	glw	gem/flawless_diamond						
592	gpw	gem/blemished_diamond						
593	gwb	gem/perfect_diamond						
594	hp1	potion/lesser_healing_potion						
595	hp2	potion/light_healing_potion						
596	hp3	potion/healing_potion2						
597	hp4	potion/strong_healing_potion						
598	hp5	potion/greater_healing_potion						
599	mp1	potion/lesser_mana_potion						
600	mp2	potion/light_mana_potion						
601	mp3	potion/mana_potion2						
602	mp4	potion/strong_mana_potion						
603	mp5	potion/greater_mana_potion						
604	skc	gem/chipped_skull						
605	skf	gem/flawed_skull						
606	sku	gem/skull						
607	skl	gem/flawless_skull						
608	skz	gem/blemished_skull						
609	skb	gem/perfect_skull						
610	hrb	herb/herb						
611	cm1	charm/charm_small						
612	cm2	charm/charm_medium						
613	cm3	charm/charm_large						
614	rps	potion/healing_potion						
615	rpl	potion/full_healing_potion						
616	bps	potion/mana_potion						
617	bpl	potion/full_mana_potion						
618	r01	rune/I_rune						
619	r02	rune/U_rune						
620	r03	rune/Shi_rune						
621	r04	rune/Ka_rune						
622	r05	rune/N_rune						
623	r06	rune/Ku_rune						
624	r07	rune/Yo_rune						
625	r08	rune/Ki_rune						
626	r09	rune/Ri_rune						
627	r10	rune/Mi_rune						
628	r11	rune/Ya_rune						
629	r12	rune/A_rune						
630	r13	rune/Tsu_rune						
631	r14	rune/Chi_rune						
632	r15	rune/Sa_rune						
633	r16	rune/Yu_rune						
634	r17	rune/Ke_rune						
635	r18	rune/E_rune						
636	r19	rune/Ko_rune						
637	r20	rune/Ra_rune						
638	r21	rune/O_rune						
639	r22	rune/Ho_rune						
640	r23	rune/Me_rune						
641	r24	rune/Ru_rune						
642	r25	rune/Ta_rune						
643	r26	rune/To_rune						
644	r27	rune/Wa_rune						
645	r28	rune/Ha_rune						
646	r29	rune/Na_rune						
647	r30	rune/Ni_rune						
648	r31	rune/Se_rune						
649	r32	rune/Fu_rune						
650	r33	rune/Ma_rune						
651	r34	rune/Hi_rune						
652	r35	rune/Mo_rune						
653	r36	rune/No_rune						
654	r37	rune/Te_rune						
655	r38	rune/Ro_rune						
656	r39	rune/So_rune						
657	r40	rune/Mu_rune						
658	r41	rune/Ne_rune						
659	r42	rune/Re_rune						
660	r43	rune/Su_rune						
661	r44	rune/He_rune						
662	r45	rune/Nu_rune						
663	r46	rune/Wo_rune						
664	r50	rune/Null_rune						
665	r84	rune/Moon_rune						
666	r85	rune/Fire_rune						
667	r86	rune/Water_rune						
668	r87	rune/Wood_rune						
669	r88	rune/Metal_rune						
670	r89	rune/Earth_rune						
671	r90	rune/Sun_rune						
672	r91	rune/Thunder_rune						
673	r92	rune/Wind_rune						
674	r93	rune/Dragon_rune						
675	r94	rune/Life_rune						
676	r95	rune/Death_rune						
677	r96	rune/Heaven_rune						
678	r97	rune/God_rune						
679	jew	gem/perfect_diamond						
680	ice	quest/scroll_of_self_resurrect						
681	0sc	scroll/identify_scroll						
682	tr2	quest/bark_scroll						
683	pk1	key/key_of_terror						
684	pk2	key/key_of_hate						
685	pk3	key/key_of_destruction						
686	dhn	body_part/fang						
687	bey	body_part/eye						
688	mbr	body_part/brain						
689	toa	quest/token_of_absolution						
690	tes	quest/twisted_essence_of_suffering						
691	ceh	quest/charged_essense_of_hatred						
692	bet	quest/burning_essence_of_terror						
693	fed	quest/festering_essence_of_destruction						
694	ddd	amulet/amulet						
695	map	quest/maple_leaf						
696	ppp	quest/dragonstone						
697	eee	quest/blackmoore						
698	sss	quest/spider_silk						
699	hh2	quest/forging_hammer						
700	ttt	quest/tyranium_ore						
701	sdo	quest/socket_donut						
702	yyy	quest/cookbook						
703	zzz	quest/steak						
704	kv0	quest/gemcan_amethyst						
705	ky0	quest/gemcan_topaz						
706	kb0	quest/gemcan_sapphire						
707	kg0	quest/gemcan_emerald						
708	kr0	quest/gemcan_ruby						
709	kw0	quest/gemcan_diamond						
710	ks0	quest/gemcan_skull						
711	kk0	quest/gemcan_obsidian						
712	ko0	quest/can_opener						
713	ko1	quest/can_opener						
714	ko2	quest/can_opener						
715	ko3	quest/can_opener						
716	ko4	quest/can_opener						
717	ko5	quest/can_opener						
718	r01	rune/I_rune						
719	r02	rune/U_rune						
720	r03	rune/Shi_rune						
721	r04	rune/Ka_rune						
722	r05	rune/N_rune						
723	r06	rune/Ku_rune						
724	r07	rune/Yo_rune						
725	r08	rune/Ki_rune						
726	r09	rune/Ri_rune						
727	r10	rune/Mi_rune						
728	r11	rune/Ya_rune						
729	r12	rune/A_rune						
730	r13	rune/Tsu_rune						
731	r14	rune/Chi_rune						
732	r15	rune/Sa_rune						
733	r16	rune/Yu_rune						
734	r17	rune/Ke_rune						
735	r18	rune/E_rune						
736	r19	rune/Ko_rune						
737	r20	rune/Ra_rune						
738	r21	rune/O_rune						
739	r22	rune/Ho_rune						
740	r23	rune/Me_rune						
741	r24	rune/Ru_rune						
742	r25	rune/Ta_rune						
743	r26	rune/To_rune						
744	r27	rune/Wa_rune						
745	r28	rune/Ha_rune						
746	r29	rune/Na_rune						
747	r30	rune/Ni_rune						
748	r31	rune/Se_rune						
749	r32	rune/Fu_rune						
750	r33	rune/Ma_rune						
751	r34	rune/Hi_rune						
752	r35	rune/Mo_rune						
753	r36	rune/No_rune						
754	r37	rune/Te_rune						
755	r38	rune/Ro_rune						
756	r39	rune/So_rune						
757	r40	rune/Mu_rune						
758	r41	rune/Ne_rune						
759	r42	rune/Re_rune						
760	r43	rune/Su_rune						
761	r44	rune/He_rune						
762	r45	rune/Nu_rune						
763	r46	rune/Wo_rune						
764	r50	rune/Null_rune						
765	t01	quest/reroll1						
766	t02	quest/reroll2						
767	t03	quest/reroll4						
768	t04	quest/reroll5						
769	t05	quest/reroll1						
770	t06	quest/reroll2						
771	t07	quest/reroll4						
772	t08	quest/reroll5						
773	t09	quest/reroll1						
774	t10	quest/reroll2						
775	t11	quest/reroll4						
776	t12	quest/reroll5						
777	t13	quest/reroll1						
778	t14	quest/reroll2						
779	t15	quest/reroll4						
780	t16	quest/reroll1						
781	t17	quest/reroll2						
782	t18	quest/reroll4						
783	t19	quest/reroll1						
784	t20	quest/reroll2						
785	t21	quest/reroll4						
786	t22	quest/reroll1						
787	t23	quest/reroll2						
788	t24	quest/reroll4						
789	t25	quest/reroll5						
790	t26	quest/reroll1						
791	t27	quest/reroll2						
792	t28	quest/reroll4						
793	t29	quest/reroll5						
794	t30	quest/reroll3						
795	t51	quest/multistocker_maple_leaf						
796	t52	quest/multistocker_dragonstone						
797	t53	quest/multistocker_decipherer						
798	t54	quest/multistocker_cookbook						
799	t55	quest/multistocker_steak						
800	t56	quest/multistocker_brain						
801	t57	quest/multistocker_eye						
802	t58	quest/multistocker_quill						
803	t59	quest/multistocker_spleen						
804	t60	quest/multistocker_tail						
805	t61	quest/multistocker_jawbone						
806	t62	quest/multistocker_fang						
807	t63	quest/multistocker_horn						
808	t64	quest/multistocker_scalp						
809	t65	quest/multistocker_heart						
810	t66	quest/multistocker_soul						
811	t67	quest/multistocker_worldstone						
812	t68	quest/multistocker_flag						
813	t69	quest/multistocker_socket_donut						
814	t70	quest/multistocker_coupon_nor						
815	t71	quest/multistocker_coupon_exc						
816	t72	quest/multistocker_coupon_eli						
817	t73	quest/multistocker_coupon_wildcard						
818	t74	quest/multistocker_full_rejuv_potion						
819	t75	quest/multistocker_anvil_stone						
820	r51	rune/el_rune						
821	r52	rune/eld_rune						
822	r53	rune/tir_rune						
823	r54	rune/nef_rune						
824	r55	rune/eth_rune						
825	r56	rune/ith_rune						
826	r57	rune/tal_rune						
827	r58	rune/ral_rune						
828	r59	rune/ort_rune						
829	r60	rune/thul_rune						
830	r61	rune/amn_rune						
831	r62	rune/sol_rune						
832	r63	rune/shael_rune						
833	r64	rune/dol_rune						
834	r65	rune/hel_rune						
835	r66	rune/io_rune						
836	r67	rune/lum_rune						
837	r68	rune/ko_lod_rune						
838	r69	rune/fal_rune						
839	r70	rune/lem_rune						
840	r71	rune/pul_rune						
841	r72	rune/um_rune						
842	r73	rune/mal_rune						
843	r74	rune/ist_rune						
844	r75	rune/gul_rune						
845	r76	rune/vex_rune						
846	r77	rune/ohm_rune						
847	r78	rune/lo_rune						
848	r79	rune/sur_rune						
849	r80	rune/ber_rune						
850	r81	rune/jah_rune						
851	r82	rune/cham_rune						
852	r83	rune/zod_rune						
853	01l	rune/el_rune3						
854	02l	rune/eld_rune3						
855	03l	rune/tir_rune3						
856	04l	rune/nef_rune3						
857	05l	rune/eth_rune3						
858	06l	rune/ith_rune3						
859	07l	rune/tal_rune3						
860	08l	rune/ral_rune3						
861	09l	rune/ort_rune3						
862	10l	rune/thul_rune3						
863	11l	rune/amn_rune3						
864	12l	rune/sol_rune3						
865	13l	rune/shael_rune3						
866	14l	rune/dol_rune3						
867	15l	rune/hel_rune3						
868	16l	rune/io_rune3						
869	17l	rune/lum_rune3						
870	18l	rune/ko_rune3						
871	19l	rune/fal_rune3						
872	20l	rune/lem_rune3						
873	21l	rune/pul_rune3						
874	22l	rune/um_rune3						
