Stat	*ID	Send Other	Signed	Send Bits	Send Param Bits	UpdateAnimRate	Saved	CSvSigned	CSvBits	CSvParam	fCallback	fMin	MinAccr	Encode	Add	Multiply	ValShift	1.09-Save Bits	1.09-Save Add	Save Bits	Save Add	Save Param Bits	keepzero	op	op param	op base	op stat1	op stat2	op stat3	direct	maxstat	damagerelated	itemevent1	itemeventfunc1	itemevent2	itemeventfunc2	descpriority	descfunc	descval	descstrpos	descstrneg	descstr2	dgrp	dgrpfunc	dgrpval	dgrpstrpos	dgrpstrneg	dgrpstr2	stuff	advdisplay	*eol
fireresist	39		1	12											10	5		8	50	8	50																36	19		ModStr1j	ModStr1j		2	19		strModAllResistances	strModAllResistances				0
maxfireresist	40		1	9											2500	250		5	0	5	0																42	19		ModStr5u	ModStr5u		7	19		allmaximumresistances	allmaximumresistances				0
lightresist	41		1	12											10	5		8	50	8	50																38	19		ModStr1l	ModStr1l		2	19		strModAllResistances	strModAllResistances				0
maxlightresist	42		1	9											2500	250		5	0	5	0																43	19		ModStr5w	ModStr5w		7	19		allmaximumresistances	allmaximumresistances				0
coldresist	43		1	12											10	5		8	50	8	50																40	19		ModStr1k	ModStr1k		2	19		strModAllResistances	strModAllResistances				0
maxcoldresist	44		1	9											2500	250		5	0	5	0																44	19		ModStr5v	ModStr5v		7	19		allmaximumresistances	allmaximumresistances				0
poisonresist	45		1	12											10	5		8	50	10	200																34	19		ModStr1n	ModStr1n		2	19		strModAllResistances	strModAllResistances				0
maxpoisonresist	46		1	9											2500	250		5	0	5	10																45	19		ModStr5y	ModStr5y		7	19		allmaximumresistances	allmaximumresistances				0
damageaura	47		1	16																																															0
firemindam	48		1	32											300	1		11	0	11	0											1					102	19		ModStr1p	ModStr1p		6	19		minelementaldamage	minelementaldamage			2	0
firemaxdam	49		1	32											300	1		12	0	13	0											1					101	19		ModStr1o	ModStr1o		6	19		maxelementaldamage	maxelementaldamage			2	0
lightmindam	50		1	32											300	1		11	0	8	0											1					99	19		ModStr1r	ModStr1r		6	19		minelementaldamage	minelementaldamage			2	0
lightmaxdam	51		1	32											300	1		12	0	14	0											1					98	19		ModStr1q	ModStr1q		6	19		maxelementaldamage	maxelementaldamage			2	0
magicmindam	52		1	32											300	1		11	0	11	0											1					104	19		strModMagicDamage	strModMagicDamage									2	0
magicmaxdam	53		1	32											300	1		12	0	13	0											1					103	19		strModMagicDamage	strModMagicDamage									2	0
coldmindam	54		1	32											300	1		11	0	11	0											1					96	19		ModStr1t	ModStr1t		6	19		minelementaldamage	minelementaldamage			2	0
coldmaxdam	55		1	32											300	1		12	0	13	0											1					95	19		ModStr1s	ModStr1s		6	19		maxelementaldamage	maxelementaldamage			2	0
coldlength	56		1	32											300	1		8	0	8	0											1																		2	0
poisonmindam	57		1	32											300	1		9	0	16	0											1					92	19		ModStr4i	ModStr4i									2	0
poisonmaxdam	58		1	32											300	1		9	0	17	0											1					91	19		ModStr4h	ModStr4h									2	0
poisonlength	59		1	16														8	0	9	0											1																			0
lifedrainmindam	60		1	16											261	85		7	0	7	0											1					88	19		ModStr2z	ModStr2z									2	0
lifedrainmaxdam	61		1	16																												1																			0
manadrainmindam	62		1	16											294	85		7	0	7	0											1					89	19		ModStr2y	ModStr2y									2	0
manadrainmaxdam	63		1	16																												1																			0
stamdrainmindam	64		1	16																												1																			0
stamdrainmaxdam	65		1	16																												1																			0
stunlength	66			16																												1																			0
velocitypercent	67	1	1	16		1												8	50	8	50																														0
attackrate	68	1	1	16		1												8	50	8	50											1																			0
other_animrate	69	1	1	16		1																																													0
quantity	70		1	16																												1																			0
value	71		1	9														8	100	8	100																														0
durability	72		1	9														8	0	9	0									1	maxdurability																				0
maxdurability	73		1	9											2	1		8	0	8	0																														0
hpregen	74			20											2	2		12	1000	16	1000																56	19		ModStr2l	ModStr2w									2	0
item_maxdurability_percent	75		1	7											29	2		7	20	7	20			13			maxdurability										3	19		ModStr2i	ModStr2i										0
item_maxhp_percent	76		1	16											1000	100		8	100	8	100			11			maxhp	item_hp_perlevel									58	19		ModStr2g	ModStr2g									2	0
item_maxmana_percent	77		1	16											1000	100		8	100	8	100			11			maxmana	item_mana_perlevel									54	19		ModStr2h	ModStr2h									2	0
item_attackertakesdamage	78		1	16							1				125			11	0	14	0												attackedinmelee	6	damagedbymissile	6	13	19		ModStr1v	ModStr1v									2	0
item_goldbonus	79		1	16											144	25		10	100	10	100																10	19		ModStr1w	ModStr1w									2	0
item_magicbonus	80		1	16											144	25		10	100	10	100																8	19		ModStr1x	ModStr1x									2	0
item_knockback	81		1	8							1				26			7	0	7	0											1	domeleedamage	7	domissiledamage	7	76	19		ModStr1y	ModStr1y									2	0
item_timeduration	82		1	10														9	20	9	20																														0
item_addclassskills	83		1	6	3						1				2500	250		5	0	8	0	3															150	13		ModStr3a	ModStr3a										0
unsentparam1	84			32														3	0																																0
item_addexperience	85		1	9											2000	100		3	0	9	100																11	19		Moditem2ExpG	Moditem2ExpG									2	0
item_healafterkill	86		1	7							1				7	25		3	0	8	0												kill	28			16	19		ModitemHPaK	ModitemHPaK									2	0
item_reducedprices	87			8											5000	250		3	0	7	0																8	19		ModitemRedVendP	ModitemRedVendP									2	0
item_doubleherbduration	88		1	2														1	0	1	0																														0
item_lightradius	89		1	7							1				3	12		6	20	8	20																6	19		ModStr3f	ModStr3f									2	0
item_lightcolor	90		1	24							1				38			5	0	24	0																														0
item_req_percent	91		1	11											6	-8		10	100	10	100																0	19		ModStr3h	ModStr3h										0
item_levelreq	92		1	32														10	100	10	100																0	19		moditemreqflat	moditemreqflat										0
item_fasterattackrate	93	1	1	10											260	39		9	150	9	150											1					145	19		ModStr4m	ModStr4m		11	19		allspeeds	allspeeds			2	0
placeholder94	94			32														7	20	8	64																														0
lastblockframe	95			32														6	20																																0
item_fastermovevelocity	96	1	1	9											1020	39		9	100	9	100																148	19		ModStr4s	ModStr4s		11	19		allspeeds	allspeeds			2	0
item_nonclassskill	97		1	16	14						1			1				8	20	8	20	14																													0
state	98	1		1	10						1				103	16		6	20	1		9																													0
item_fastergethitrate	99	1	1	9											266	18		8	100	8	100																139	19		ModStr4p	ModStr4p		11	19		allspeeds	allspeeds			2	0
monster_playercount	100			32														7	20																																0
skill_poison_override_length	101			8														6	20																																0
item_fasterblockrate	102	1	1	9											371	18		8	100	8	100																136	19		ModStr4y	ModStr4y		11	19		allspeeds	allspeeds			2	0
skill_bypass_undead	103			1														7	20	1	0																298	19		ignoreundeadphysicalresist	ignoreundeadphysicalresist									2	0
skill_bypass_demons	104			1														6	20	1	0																298	19		ignoredemonphysicalresist	ignoredemonphysicalresist									2	0
item_fastercastrate	105	1	1	10											969	39		9	100	9	100																142	19		ModStr4v	ModStr4v		11	19		allspeeds	allspeeds			2	0
skill_bypass_beasts	106			1														7	20	1	0																298	19		ignorebeastphysicalresist	ignorebeastphysicalresist									2	0
item_singleskill	107		1	16	11						1			1				14	0	7	0	14															81	27		ItemModifierClassSkill	ItemModifierClassSkill										0
item_restinpeace	108			1							1				5000			14	0	1	0											1	kill	29			81	19		ModitemSMRIP	ModitemSMRIP									2	0
curse_resistance	109			9											1000	20		14	0	10	500																18	19		StrSkill184	StrSkill184									2	0
item_poisonlengthresist	110		1	9											6	2		8	20	8	20																18	19		ModStr3r	ModStr3r									2	0
item_normaldamage	111		1	16											23	25		11	100	11	100											1					122	19		ModStr5b	ModStr5b										0
item_howl	112		1	8							1				13	2		7	-1	7	-1											1	domeleedamage	8	domissiledamage	8	79	5		ModStr3u	ModStr3u									2	0
item_stupidity	113		1	8							1				83	256		7	0	7	0											1	domeleedamage	9	domissiledamage	9	80	12	2	ModStr6d	ModStr6d									2	0
item_damagetomana	114		1	7							1				10	5		10	100	10	100												damagedinmelee	13	damagedbymissile	13	11	19		ModStr3w	ModStr3w									2	0
item_ignoretargetac	115		1	2											272	100		1	0	1	0											1					119	19		ModStr3y	ModStr3y									2	0
item_fractionaltargetac	116		1	10											16	5		9	100	9	100											1					118	19		ModStr5o	ModStr5o									2	0
preventhealplaceholder	117		1	8											12	12		7	0	7	0											1					81	19		ModStr4a	ModStr4a									2	0
item_halffreezeduration	118		1	2											1274	100		1	0	1	0																19	19		ModStr4b	ModStr4b									2	0
item_tohit_percent	119		1	12											245	10		10	500	11	500											1					117	19		ModStr4c	ModStr4c									2	0
item_damagetargetac	120		1	10											6	-5		9	200	9	200											1					75	19		ModStr4d	ModStr4d									2	0
item_demondamage_percent	121		1	12											4	3		11	1000	11	1000											1					112	19		ModStr4e	ModStr4e									2	0
item_undeaddamage_percent	122		1	12											3	3		11	1000	11	1000											1					108	19		ModStr4f	ModStr4f									2	0
item_demon_tohit	123		1	13											3	1		11	1000	11	1000											1					110	19		ModStr4j	ModStr4j									2	0
item_undead_tohit	124		1	13											2	1		11	1000	11	1000											1					106	19		ModStr4k	ModStr4k									2	0
item_throwable	125		1	2											20	256		1	0	1	0																5	19		ModStr5a	ModStr5a										0
item_elemskill	126		1	8	4						1				19	256		6	20	7	20	4																													0
item_allskills	127		1	8							1				10000	250		6	20	7	20																158	19		ModStr3k	ModStr3k									2	0
item_attackertakeslightdamage	128		1	16							1				1	25		11	0	11	0												damagedinmelee	10			14	19		ModStr3j	ModStr3j									2	0
ironmaiden_level	129		1	10																																															0
lifetap_level	130		1	10																																															0
thorns_percent	131			12																																															0
bonearmor	132		1	32																																															0
bonearmormax	133		1	32																																															0
item_freeze	134		1	5							1				166	3		5	0	5	0											1	domeleedamage	14	domissiledamage	14	78	12	2	ModStr3l	ModStr3l									2	0
item_openwounds	135		1	10							1				5	2		9	100	9	100																83	19		ModStr3m	ModStr3m									2	0
item_crushingblow	136		1	10							1				24	10		9	100	9	100											1	domeleedamage	16	domissiledamage	16	87	19		ModStr5c	ModStr5c									2	0
item_kickdamage	137		1	10											19	12		10	100	10	100																121	19		ModStr5e	ModStr5e										0
item_manaafterkill	138		1	10							1				4	25		10	500	10	500												kill	17			16	19		ModStr5f	ModStr5f									2	0
item_healafterdemonkill	139		1	10							1				4	25		10	500	10	500												kill	18			15	19		ModStr6c	ModStr6c									2	0
item_extrablood	140		1	7											3	2		9	100	9	100											1																			0
item_deadlystrike	141		1	12											7	6		9	100	9	100											1					85	19		ModStr5q	ModStr5q									2	0
item_absorbfire_percent	142		1	7											1000	100		7	0	7	0																23	19		ModStr5g	ModStr5g		5	19		strModAbsorbElemental	strModAbsorbElemental			2	0
item_absorbfire	143		1	12											200	50		7	0	8	0																27	19		ModStr5h	ModStr5h									2	0
item_absorblight_percent	144		1	7											1000	100		7	0	7	0																24	19		ModStr5i	ModStr5i		5	19		strModAbsorbElemental	strModAbsorbElemental			2	0
item_absorblight	145		1	12											200	50		7	0	8	0																29	19		ModStr5j	ModStr5j									2	0
item_absorbmagic_percent	146		1	7											1000	100		7	0	7	0																26	19		ModStr5k	ModStr5k									2	0
item_absorbmagic	147		1	12											200	50		7	0	8	0																33	19		ModStr5l	ModStr5l									2	0
item_absorbcold_percent	148		1	7											1000	100		7	0	7	0																25	19		ModStr5m	ModStr5m		5	19		strModAbsorbElemental	strModAbsorbElemental			2	0
item_absorbcold	149		1	12											200	50		7	0	8	0																31	19		ModStr5n	ModStr5n									2	0
item_slow	150		1	7							1				25	10		7	0	7	0											1	domeleedamage	19	domissiledamage	19	77	19		ModStr5r	ModStr5r									2	0
item_aura	151		1	32							1							8	0	8	0	14																												2	0
item_indesctructible	152		1	1														7	0	1																	160	19		ModStre9s	ModStre9s										0
item_cannotbefrozen	153		1	2											3752	512		1		1																	20	19		ModStr5z	ModStr5z									2	0
item_staminadrainpct	154		1	7											25	5		7	20	7	20											1					49	19		ModStr6e	ModStr6e									2	0
item_reanimate	155			7	11						1							7	0	7	0	11										1	kill	31			17	23		Moditemreanimas	Moditemreanimas									2	0
item_pierce	156		1	12											481	100		9	100	9	100											1					132	19		ModStr6g	ModStr6g									2	0
item_magicarrow	157		1	7											127	256		7	0	7	0																131	19		ModStr6h	ModStr6h										0
item_explosivearrow	158		1	7											123	384		7	0	7	0																133	19		ModStr6i	ModStr6i										0
item_throw_mindamage	159		1	10											19	32		8	0	8	0											1																			0
item_throw_maxdamage	160		1	10											22	32		8	0	8	0											1																			0
kill_base	161			32			1	0	32																					1																					0
skill_staminapercent	162		1	13																				11			maxstamina	item_stamina_perlevel																							0
placeholder163	163		1	12																				1			maxstamina																								0
skill_concentration	164		1	12																																															0
skill_enchant	165		1	12																																															0
skill_pierce	166		1	12	16																																132	19		skillpiercingattack	skillpiercingattack									2	0
skill_conviction	167		1	12																																															0
skill_chillingarmor	168		1	12																																															0
skill_frenzy	169		1	12																																															0
skill_decrepify	170		1	12																																															0
skill_armor_percent	171		1	16																																															0
alignment	172	1		2																																															0
target0	173			32																																															0
target1	174			32																																															0
goldlost	175			24																																															0
conversion_level	176			8																																															0
conversion_maxhp	177			16																																															0
unit_dooverlay	178			16																																															0
attack_vs_montype	179			9	10										4	3		3	0	9		10										1					108	22		ModitemAttratvsM	ModitemAttratvsM									2	0
damage_vs_montype	180			9	10										6	4		3	0	9		10										1					106	22		Moditemdamvsm	Moditemdamvsm									2	0
fade	181	1		7														14	0	3																															0
armor_override_percent	182	1	1	10														14	0	10	100																														0
junk_01	183		1	16																16	0																99	3	2	jr1	jr1										0
junk_02	184		1	16																16	0																98	3	2	jr2	jr2										0
junk_03	185		1	16																16	0																97	3	2	jr3	jr3										0
junk_04	186		1	16																16	0																96	3	2	jr4	jr4										0
item_pierce_cold_immunity	187		1	16																12	0																													2	0
item_addskill_tab	188		1	16	16						1				2760	192		10	0	7	0	16															151	14		StrSklTabItem1	StrSklTabItem1										0
item_pierce_fire_immunity	189		1	16																12	0																													2	0
item_pierce_light_immunity	190			16											358	128				10																														2	0
item_pierce_poison_immunity	191		1	16											269	42				10	0																													2	0
item_pierce_damage_immunity	192			16											358	128				10																														2	0
item_pierce_magic_immunity	193		1	16																10	0																													2	0
item_numsockets	194		1	4											9	42		4	0	4	0																														0
item_skillonattack	195		1	10	20						1			2				21	0	8	0	18										1	domeleeattack	20	domissileattack	20	160	15		ItemExpansiveChancX	ItemExpansiveChancX									2	0
item_skillonkill	196		1	10	20						1			2				21	0	8	0	18										1	kill	30			160	15		ModitemskonKill	ModitemskonKill									2	0
item_skillondeath	197		1	10	20						1			2				21	0	8	0	18											killed	30			160	15		Moditemskondeath	Moditemskondeath									2	0
item_skillonhit	198		1	10	20						1			2				21	0	8	0	18										1	domeleedamage	20	domissiledamage	20	160	15		ItemExpansiveChanc1	ItemExpansiveChanc1									2	0
item_skillonlevelup	199		1	10	20						1			2				21	0	8	0	18											levelup	30			160	15		ModitemskonLevel	ModitemskonLevel									2	0
unused200	200																																																		0
item_skillongethit	201		1	10	20						1			2				21	0	8	0	18											damagedinmelee	21	damagedbymissile	21	160	15		ItemExpansiveChanc2	ItemExpansiveChanc2									2	0
item_craftflag	202		1	10																12	0																163	3	0	Forged Equ	Unforgeable										0
item_randomize	203		1	10																12	0																														0
item_charged_skill	204		1	30							1			3				30	0	16	0	18															1	24		ModStre10d	ModStre10d										0
item_noconsume	205		1	8											26	64				8	0											1																		2	0
passive_mastery_noconsume	206		1	9	16															8	0																														0
passive_mastery_replenish_oncrit	207		1	9	16															8	0																														0
gem_g	208		1	16																16	0																5	3	2	gsg2	gsg2										0
gem_r	209		1	16																16	0																4	3	2	gsr2	gsr2										0
gem_w	210		1	16																16	0																3	3	2	gsw2	gsw2										0
gem_s	211		1	16																16	0																2	3	2	sku	sku										0
gem_k	212		1	16																16	0																1	3	2	gsk	gsk										0
item_fear	213		1	8							1				18	1				7	-1												damagedinmelee	8			79	5	2	ModStr3u2	ModStr3u2										0
item_armor_perlevel	214		1	16											10	10		6	0	8	0			4	3	level	armorclass										72	19		ModStr1i	ModStr1i	increaseswithplaylevelX									0
item_armorpercent_perlevel	215		1	16											21	25		6	0	6	0			5	3	level	armorclass										73	19		Modstr2v	Modstr2v	increaseswithplaylevelX									0
item_hp_perlevel	216		1	16											23	16	8	6	0	9	0			2	3	level	maxhp										57	19		ModStr1u	ModStr1u	increaseswithplaylevelX									0
item_mana_perlevel	217		1	16											22	32	8	6	0	9	0			2	3	level	maxmana										53	19		ModStr1e	ModStr1e	increaseswithplaylevelX									0
item_maxdamage_perlevel	218		1	16							1				13	51		9	0	7	0			4	3	level	maxdamage	secondary_maxdamage	item_throw_maxdamage			1					125	19		ModStr1f	ModStr1f	increaseswithplaylevelX									0
item_maxdamage_percent_perlevel	219		1	16											21	25		9	0	7	0			5	3	level	maxdamage	secondary_maxdamage	item_throw_maxdamage			1					128	19		ModStr2j	ModStr2j	increaseswithplaylevelX									0
item_strength_perlevel	220		1	16											33	32		9	0	8	0			2	3	level	strength										66	19		ModStr1a	ModStr1a	increaseswithplaylevelX									0
item_dexterity_perlevel	221		1	16											33	32		9	0	8	0			2	3	level	dexterity										64	19		ModStr1b	ModStr1b	increaseswithplaylevelX									0
item_energy_perlevel	222		1	16											26	32		9	0	8	0			2	3	level	energy										60	19		ModStr1d	ModStr1d	increaseswithplaylevelX									0
item_vitality_perlevel	223		1	16											26	32		9	0	8	0			2	3	level	vitality										62	19		ModStr1c	ModStr1c	increaseswithplaylevelX									0
item_tohit_perlevel	224		1	16											13	5		10	0	10	0			2	1	level	tohit					1					114	19		ModStr1h	ModStr1h	increaseswithplaylevelX									0
item_tohitpercent_perlevel	225		1	16											2	64		10	0	8	0			2	1	level	item_tohit_percent					1					116	19		ModStr4c	ModStr4c	increaseswithplaylevelX									0
item_cold_damagemax_perlevel	226		1	16											264	85		12	0	9	0			2	3	level	coldmaxdam					1					94	19		ModStr1s	ModStr1s	increaseswithplaylevelX									0
item_fire_damagemax_perlevel	227		1	16											12	32		12	0	9	0			2	3	level	firemaxdam					1					100	19		ModStr1o	ModStr1o	increaseswithplaylevelX									0
item_ltng_damagemax_perlevel	228		1	16											12	32		12	0	9	0			2	3	level	lightmaxdam					1					97	19		ModStr1q	ModStr1q	increaseswithplaylevelX									0
item_pois_damagemax_perlevel	229		1	16											12	32		12	0	9	0			2	3	level	poisonmaxdam					1					90	19		ModStr4h	ModStr4h	increaseswithplaylevelX									0
item_resist_cold_perlevel	230		1	6											25	32		6	0	6	0			2	3	level	coldresist										39	19		ModStr1k	ModStr1k	increaseswithplaylevelX									0
item_resist_fire_perlevel	231		1	6											25	32		6	0	6	0			2	3	level	fireresist										35	19		ModStr1j	ModStr1j	increaseswithplaylevelX									0
item_resist_ltng_perlevel	232		1	6											25	32		6	0	6	0			2	3	level	lightresist										37	19		ModStr1l	ModStr1l	increaseswithplaylevelX									0
item_resist_pois_perlevel	233		1	6											25	32		6	0	6	0			2	3	level	poisonresist										33	19		ModStr1n	ModStr1n	increaseswithplaylevelX									0
item_sanctification	234		1	12														8	0	8	0																300	20		Sanctified	Sanctified										0
item_absorb_fire_perlevel	235		1	6											51	85		6	0	6	0			2	3	level	item_absorbfire										28	19		ModStre9o	ModStre9o	increaseswithplaylevelX								2	0
item_sanctification_dummy	236		1	12														8	0	10	0																299	20		SanctifyIt	SanctifyIt										0
item_absorb_pois_perlevel	237		1	6											51	85		6	0	6	0			2	3	level	item_absorbmagic																							2	0
item_thorns_perlevel	238		1	16											13	64		6	0	9	0			2	3	level	item_attackertakesdamage										12	19		ModStr1v	ModStr1v	increaseswithplaylevelX									0
item_find_gold_perlevel	239		1	16											10	64		6	0	6	0			2	3	level	item_goldbonus										9	19		ModStr1w	ModStr1w	increaseswithplaylevelX								2	0
item_find_magic_perlevel	240		1	16											203	256		6	0	6	0			2	3	level	item_magicbonus										7	19		ModStr1x	ModStr1x	increaseswithplaylevelX								2	0
item_regenstamina_perlevel	241		1	16											19	64		6	0	7	0			2	3	level	staminarecoverybonus										47	19		ModStr3v	ModStr3v	increaseswithplaylevelX								2	0
item_stamina_perlevel	242		1	16											26	16	8	6	0	7	0			2	3	level	maxstamina										50	19		ModStr5d	ModStr5d	increaseswithplaylevelX									0
item_damage_demon_perlevel	243		1	16											14	2		6	0	7	0			2	3	level	item_demondamage_percent					1					111	19		ModStr4e	ModStr4e	increaseswithplaylevelX								2	0
item_damage_undead_perlevel	244		1	16											22	2		6	0	7	0			2	3	level	item_undeaddamage_percent					1					107	19		ModStr4f	ModStr4f	increaseswithplaylevelX								2	0
item_tohit_demon_perlevel	245		1	16											13	2		6	0	7	0			2	1	level	item_demon_tohit					1					109	19		ModStr4j	ModStr4j	increaseswithplaylevelX									0
item_tohit_undead_perlevel	246		1	16											3	2		6	0	7	0			2	1	level	item_undead_tohit					1					105	19		ModStr4k	ModStr4k	increaseswithplaylevelX									0
item_crushingblow_perlevel	247		1	16											53	256		6	0	6	0			2	3	level	item_crushingblow					1					86	19		ModStr5c	ModStr5c	increaseswithplaylevelX								2	0
item_openwounds_perlevel	248		1	16											45	32		6	0	6	0			2	3	level	item_openwounds					1					82	19		ModStr3m	ModStr3m	increaseswithplaylevelX								2	0
item_kick_damage_perlevel	249		1	16											26	32		6	0	8	0			2	3	level	item_kickdamage					1					120	19		ModStr5e	ModStr5e	increaseswithplaylevelX									0
item_deadlystrike_perlevel	250		1	16											29	128		6	0	6	0			2	3	level	item_deadlystrike					1					84	19		ModStr5q	ModStr5q	increaseswithplaylevelX								2	0
item_meldflag	251		1	4																10	0																														0
item_replenish_durability	252		1	5											26	64		5	0	6	0																1	11		ModStre9t	ModStre9t										0
item_replenish_quantity	253		1	5											26	64		5	0	6	0																2	19		ModStre9v	ModStre9v										0
item_extra_stack	254		1	32											24	2		8	0	8	0																4	19		ModStre9i	ModStre9i										0
strengthpercent	255		1	16											312	75				7	50			11			strength	item_strength_perlevel									61	19		strModStrengthPercent	strModStrengthPercent		3	19		strModAllAttributesPercent	strModAllAttributesPercent			2	0
dexteritypercent	256		1	16											250	75				7	50			11			dexterity	item_dexterity_perlevel									61	19		strModDexterityPercent	strModDexterityPercent		3	19		strModAllAttributesPercent	strModAllAttributesPercent			2	0
vitalitypercent	257		1	16											312	75				7	50			11			vitality	item_vitality_perlevel									61	19		strModVitalityPercent	strModVitalityPercent		3	19		strModAllAttributesPercent	strModAllAttributesPercent			2	0
energypercent	258		1	16											250	75				7	50			11			energy	item_energy_perlevel									61	19		strModEnergyPercent	strModEnergyPercent		3	19		strModAllAttributesPercent	strModAllAttributesPercent			2	0
progressive_execute	259		1	3																																															0
randomgenerator	260		1	12																																															0
gem_v	261		1	16																16	0																8	3	2	gsv2	gsv2										0
gem_y	262		1	16																16	0																7	3	2	gsy2	gsy2										0
gem_b	263		1	16																16	0																6	3	2	gsb2	gsb2										0
item_aura_display	264		1	32							1							8	0	8	0	14															159	16	0	ModitemAura	ModitemAura									2	0
passive_summ_elemental_resist	265		1	10											250	75		8	0	8	100																89	19		summoningskillelementalresist	summoningskillelementalresist									2	0
passive_summ_life	266		1	10											250	75		8	0	8	50																89	19		summoningskilllife	summoningskilllife									2	0
passive_summ_phys_resist	267		1	10											250	75		8	0	7	50																89	19		summoningskillphysicalresist	summoningskillphysicalresist									2	0
placeholder268	268		1	10											250	75		8	0	9	100																88	19		skillcooldownreduction	skillcooldownreduction									2	0
placeholder269	269		1	6											250	75		6	0	6	5																298	19		traplimitpositive	traplimitpositive									2	0
placeholder270	270		1	6											250	75		6	0	6	5																297	19		maxsummons	maxsummons									2	0
placeholder271	271		1	12											250	75		10	200	10	200																298	19		twisterlimit	twisterlimit									2	0
placeholder272	272		1	10							1				250	75		6	0	6	5																298	19		bladenovamaxres	bladenovamaxres									2	0
placeholder273	273		1	8							1				250	75		6	0	8	0												domeleedamage	28	domissiledamage	28	52	1	1	lifeonstriking	lifeonstriking										0
