Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
of Nirvana	100	1	1	80		63				18	31	dex		21	30	dexpercent		10	20					1	cgrn	amul	shld	miss	tors	glov						0	0	0
of Nirvana	100	1	1	85		63				9	31	dex		21	30	dexpercent		21	30					1	cgrn	miss	tors	glov								0	0	0
of Energy	100	1	1	1	10	1				18	32	enr		1	3									1	dblu	amul	helm	staf	wand	ring						0	0	0
of the Mind	100	1	1	10	26	8				18	32	enr		4	6									1	dblu	amul	helm	staf	wand	ring						0	0	0
of Brilliance	100	1	1	26	42	19				18	32	enr		7	10									1	dblu	amul	helm	staf	wand	ring						0	0	0
of Sorcery	100	1	1	42	58	34				18	32	enr		11	15									1	dblu	amul	helm	staf	wand	ring						0	0	0
of Wizardry	100	1	1	58	71	50				18	32	enr		16	20									1	cblu	amul	helm	staf	wand	ring						0	0	0
of Enlightenment	100	1	1	71		63				18	32	enr		21	30									1	cblu	amul	helm	staf	wand	ring						0	0	0
of Enlightenment	100	1	1	80		63				18	31	enr		21	30	enepercent		10	20					1	cblu	tors	circ	staf	wand	amul						0	0	0
of Enlightenment	100	1	1	85		63				9	31	enr		21	30	enepercent		21	30					1	cblu	tors	circ	staf	wand							0	0	0
of Shielding	100			30		20				12	33	res-all		10	10	res-all-max		1	1					1	whit	helm	tors	shld	belt	staf	wand					0	0	0
of Shielding	100	1	1	50	70	35				12	33	res-all		15	15	res-all-max		1	2					1	whit	helm	tors	shld	belt	staf	wand					0	0	0
of Shielding	100	1	1	70	90	50				12	33	res-all		20	20	res-all-max		2	3					1	whit	helm	tors	shld	belt	staf	wand					0	0	0
of Shielding	100	1	1	80		60				6	33	res-all		25	25	res-all-max		2	4					1	whit	helm	tors	shld	belt	staf	wand					0	0	0
of Shielding	100	1	1	90		65				3	33	res-all		35	35	res-all-max		3	5					1	whit	helm	tors	shld	belt	staf	wand					0	0	0
of Self-Repair	100	1	1	3	20	1				18	34	rep-dur	3											1	oran	mele	armo						srkn			0	0	0
of Fast Repair	100	1	1	20		12				18	34	rep-dur	5											1	oran	mele	armo						srkn			0	0	0
of Replenishing	100		1	5		3				14	34	rep-quant	5											1	oran	thro										0	0	0
of Propogation	100		1	24		18				28	34	rep-quant	10											1	oran	thro										0	0	0
of Ages	100		1	50		42				14	34	indestruct		1	1									1	blac	mele	armo									0	0	0
of the Kraken	100	1	1	37	90	1				12	35	hp/lvl	6											1	cred	amul	circ	pelt	phlm	tors						0	0	0
of Memory	100	1	1	37	90	1				12	36	mana/lvl	6											1	cred	amul	circ									0	0	0
of the Elephant	100	1	1	37	90	1				12	37	hp/lvl	3			mana/lvl	3							1	cred	amul	circ									0	0	0
of Power	100	1	1	37	90	1				12	38	str/lvl	4											1	dgld	amul	circ	pelt	phlm	tors						0	0	0
of Grace	100	1	1	37	90	1				12	39	dex/lvl	4											1	dgld	amul	circ									0	0	0
of Grace and Power	100	1	1	37	90	1				12	40	str/lvl	2			dex/lvl	2							1	dgld	amul	circ									0	0	0
of the Yeti	100	1	1	25	90	1				12	41	res-cold/lvl	4											1	lblu	amul	ring	helm	tors	shld						0	0	0
of the Phoenix	100	1	1	25	90	1				12	42	res-fire/lvl	4											1	cred	amul	ring	helm	tors	shld						0	0	0
of the Efreeti	100	1	1	25	90	1				12	43	res-ltng/lvl	4											1	cblu	amul	ring	helm	tors	shld						0	0	0
of the Cobra	100	1	1	25	90	1				12	44	res-pois/lvl	4											1	dyel	amul	ring	helm	tors	shld						0	0	0
of the Elements	100	1	1	50	90	1				12	45	res-cold/lvl	2			res-fire/lvl	2			res-ltng/lvl	2			1	dgld	amul	ring	helm	tors	shld						0	0	0
of the Saint	100	1	1	15	18	12				16	46	dmg-demon		125	150	dmg-undead		125	150					1	whit	weap							staf	wand	orb	0	0	0
of the Heavens	100	1	1	25	30	20				16	46	dmg-demon		151	150	dmg-undead		151	150					1	bwht	weap							staf	wand	orb	0	0	0
of Exorcism	100	1	1	50	80	45				16	46	dmg-demon		151	300	dmg-undead		151	300					1	whit	weap							staf	wand	orb	0	0	0
of Righteousness	100	1	1	50		45				16	46	dmg-demon		301	350	dmg-undead		301	350					1	bwht	weap							staf	wand	orb	0	0	0
of Exorcism	100	1	1	80		65				1	46	dmg-demon		301	350	att-demon		400	500	ignore-demon-resist		1	1	1	whit	weap							staf	wand	orb	0	0	0
of Righteousness	100	1	1	80		65				1	46	dmg-undead		301	350	att-undead		400	500	ignore-undead-resist		1	1	1	bwht	weap							staf	wand	orb	0	0	0
of the Arctic	100	1	1	90		75				14	47	freeze		1	1	nofreeze		1	1					1	cblu	weap							staf	wand	orb	0	0	0
of Arrows	100	1	1	12	36	10				2	48	hit-skill	Fire Enhanced Arrow	10	10									1	lred	miss							staf	wand	orb	0	0	0
of Arrows	100	1	1	24	48	20				2	48	hit-skill	Fire Enhanced Arrow	12	15									1	lred	miss							staf	wand	orb	0	0	0
of Arrows	100	1	1	36	60	30				2	48	hit-skill	Fire Enhanced Arrow	14	20									1	dred	miss							staf	wand	orb	0	0	0
of Arrows	100	1	1	48		40				2	48	hit-skill	Fire Enhanced Arrow	16	25									1	dred	miss							staf	wand	orb	0	0	0
of Arrows	100	1	1	60		50				1	48	hit-skill	Fire Enhanced Arrow	20	30									1	cred	miss							staf	wand	orb	0	0	0
of Arrows	100	1	1	12	36	10				2	48	hit-skill	Lightning Enhanced Arrow	10	10									1	lyel	miss							staf	wand	orb	0	0	0
of Arrows	100	1	1	24	48	20				2	48	hit-skill	Lightning Enhanced Arrow	12	15									1	lyel	miss							staf	wand	orb	0	0	0
of Arrows	100	1	1	36	60	30				2	48	hit-skill	Lightning Enhanced Arrow	14	20									1	dyel	miss							staf	wand	orb	0	0	0
of Arrows	100	1	1	48		40				2	48	hit-skill	Lightning Enhanced Arrow	16	25									1	dyel	miss							staf	wand	orb	0	0	0
of Arrows	100	1	1	60		50				1	48	hit-skill	Lightning Enhanced Arrow	20	30									1	lgld	miss							staf	wand	orb	0	0	0
of Axes	100		1	12	36	10				2	48	hit-skill	Poison Enhanced Axe	10	10									1	lgrn	mele							staf	wand	orb	0	0	0
of Axes	100		1	24	48	20				2	48	hit-skill	Poison Enhanced Axe	12	15									1	lgrn	mele							staf	wand	orb	0	0	0
of Axes	100		1	36	60	30				2	48	hit-skill	Poison Enhanced Axe	14	20									1	dgrn	mele							staf	wand	orb	0	0	0
of Axes	100		1	48		40				2	48	hit-skill	Poison Enhanced Axe	16	25									1	dgrn	mele							staf	wand	orb	0	0	0
of Axes	100		1	60		50				1	48	hit-skill	Poison Enhanced Axe	20	30									1	cgrn	mele							staf	wand	orb	0	0	0
of Arrows	100	1	1	12	36	10				2	48	hit-skill	Magic Enhanced Arrow	10	10									1	bwht	miss							staf	wand	orb	0	0	0
of Arrows	100	1	1	24	48	20				2	48	hit-skill	Magic Enhanced Arrow	12	15									1	bwht	miss							staf	wand	orb	0	0	0
of Arrows	100	1	1	36	60	30				2	48	hit-skill	Magic Enhanced Arrow	14	20									1	bwht	miss							staf	wand	orb	0	0	0
of Arrows	100	1	1	48		40				2	48	hit-skill	Magic Enhanced Arrow	16	25									1	bwht	miss							staf	wand	orb	0	0	0
of Arrows	100	1	1	60		50				1	48	hit-skill	Magic Enhanced Arrow	20	30									1	whit	miss							staf	wand	orb	0	0	0
of Frozen Orb	100	1	1	12	36	10				1	48	hit-skill	Orb of Winter	1	15									1	dblu	weap							staf	wand	orb	0	0	0
of Frozen Orb	100	1	1	24	48	20				1	48	hit-skill	Orb of Winter	1	25									1	dblu	weap							staf	wand	orb	0	0	0
of Frozen Orb	100	1	1	36	60	30				1	48	hit-skill	Orb of Winter	1	35									1	dblu	weap							staf	wand	orb	0	0	0
of Frozen Orb	100	1	1	48	80	40				1	48	hit-skill	Orb of Winter	1	45									1	cblu	weap							staf	wand	orb	0	0	0
of Frozen Orb	100	1	1	60		50				1	48	hit-skill	Orb of Winter	1	60									1	cblu	weap							staf	wand	orb	0	0	0
of Arrows	100		1	12	36	10				2	48	hit-skill	Poison Enhanced Arrow	10	10									1	lgrn	miss							staf	wand	orb	0	0	0
of Arrows	100		1	24	48	20				2	48	hit-skill	Poison Enhanced Arrow	12	15									1	lgrn	miss							staf	wand	orb	0	0	0
of Arrows	100		1	36	60	30				2	48	hit-skill	Poison Enhanced Arrow	14	20									1	dgrn	miss							staf	wand	orb	0	0	0
of Arrows	100		1	48		40				2	48	hit-skill	Poison Enhanced Arrow	16	25									1	dgrn	miss							staf	wand	orb	0	0	0
of Arrows	100		1	60		50				1	48	hit-skill	Poison Enhanced Arrow	20	30									1	cgrn	miss							staf	wand	orb	0	0	0
of Axes	100	1	1	12	36	10				2	48	hit-skill	Lightning Enhanced Axe	10	10									1	lyel	mele							staf	wand	orb	0	0	0
of Axes	100	1	1	24	48	20				2	48	hit-skill	Lightning Enhanced Axe	12	15									1	lyel	mele							staf	wand	orb	0	0	0
of Axes	100	1	1	36	60	30				2	48	hit-skill	Lightning Enhanced Axe	14	20									1	dyel	mele							staf	wand	orb	0	0	0
