state	*ID	group	remhit	nosend	transform	aura	curable	curse	active	restrict	disguise	attblue	damblue	armblue	rfblue	rlblue	rcblue	stambarblue	rpblue	attred	damred	armred	rfred	rlred	rcred	rpred	exp	plrstaydeath	monstaydeath	bossstaydeath	hide	hidedead	shatter	udead	life	green	pgsv	nooverlays	noclear	bossinv	meleeonly	notondead	overlay1	overlay2	overlay3	overlay4	pgsvoverlay	castoverlay	removerlay	stat	setfunc	remfunc	missile	skill	itemtype	itemtrans	colorpri	colorshift	light-r	light-g	light-b	onsound	offsound	gfxtype	gfxclass	cltevent	clteventfunc	cltactivefunc	srvactivefunc	canstack	*eol
progressive_steal	123																																				1										progressive_steal_1			progressive_steal	1	1																			0
progressive_other	124																																				1										progressive_other_1			progressive_other	1	1																			0
progressive_fire	125																																				1										progressive_fire_1			progressive_fire	1	1																			0
progressive_cold	126																																				1										progressive_cold_1			progressive_cold	1	1																			0
progressive_lightning	127																																				1										progressive_lightning_1			progressive_lightning	1	1																			0
shrine_armor	128													1																													shrine_armor	shrine_shimmer00						armorclass																					0
shrine_combat	129											1	1																														shrine_combat	shrine_shimmer00						tohit																					0
shrine_resist_lightning	130															1																											shrine_resist_lightning	shrine_shimmer01						lightresist																					0
shrine_resist_fire	131														1																												shrine_resist_fire	shrine_shimmer00						fireresist																					0
shrine_resist_cold	132																1																										shrine_resist_cold	shrine_shimmer01						coldresist																					0
shrine_resist_poison	133																		1																								shrine_resist_poison	shrine_shimmer01						poisonresist																					0
shrine_skill	134																																										shrine_skill	shrine_shimmer00							9	6																			0
shrine_mana_regen	135																																										shrine_mana_regen	shrine_shimmer01																											0
shrine_stamina	136																	1																									shrine_stamina	shrine_shimmer01						stamina																					0
shrine_experience	137																																										shrine_experience	shrine_shimmer00																											0
generalglovesstate	138																																																																						0
wolf	139	3			1					1	1	1																													1										14											druid_morph	druid_morph	1	430						0
bear	140	3			1					1	1		1	1																											1										14											druid_morph	druid_morph	1	431						0
bloodlust	141							1																																			bloodlust_state	bloodlust_state																											0
changeclass	142																																																		5																				0
attached	143								1																				1	1				1																	13	9																88	147		0
hurricane	144								1																																										7	4																90	145		0
armageddon	145																																																																				146		0
invis	146																																																		12	8																			0
firepierceaura	147					1																																					aura_resistfire					cast_resistfire		fireresist												paladin_aura_resistfire									0
wolverine	148					1						1	1																															heart_of_wolverine						item_tohit_percent																					0
lightdamageaura	149					1																																					aura_resistlight					cast_resistlight		lightresist												paladin_aura_resistlightning									0
firedamageaura	150					1																																					aura_resistfire					cast_resistfire		fireresist												paladin_aura_resistfire									0
cyclonearmor	151																																					1	1				cyclonearmor1front	cyclonearmor2front	cyclonearmor3front						8	5																			0
clawmastery	152																																																																						0
cloak_of_shadows	153													1																																					2											assassin_cloakofdarkness									0
generalbootsstate	154																																																																				146		0
weaponblock	155																																																																						0
cloaked	156																					1																					cloaked							skill_armor_percent																					0
quickness	157	2				1																																					quickness							attackrate																					0
redtertiary	158																																																								70	100	255	255	255										0
fade	159	2													1	1	1		1																								fade							poisonresist																					0
summonresist	160																																																																						0
sway	161																																																																						0
generalbeltstate	162																																																																				146		0
ledgeraura	163					1																																																																	0
debugcontrol	164																																																																						0
itemset1	165																																																																						0
itemset2	166																																																																						0
itemset3	167																																																																						0
itemset4	168																																																																						0
itemset5	169																																																																						0
itemset6	170			1																																																																			0
runeword	171			1																																																																			0
restinpeace	172																												1	1				1								1									17		redemption									paladin_redeemed_soul									0
corpseexp	173																												1	1	1			1								1									18		corpseexplosion									necromancer_corpseexp_1									0
whirlwind	174																																										whirlwind																												0
fullsetgeneric	175																																										aura_fanatic																												0
righteousfire	176					1																																					aura_holyfire_front	aura_holyfire_back																		paladin_aura_holyfire									0
delerium	177																																																																						0
antidote	178																		1																																																				0
thawing	179																1																																																						0
staminapot	180																	1																																																					0
convicted	181					1																1	1	1	1																		convictionfront	convictionback						skill_conviction																					0
blue	182																																																								100	108	150	215	255										0
moltenfocus	183																																																																						0
uberminion	184																												1		1		1	1																												impact_bluemotize_1									0
cooldown	185																																																																						0
sharedstash	186																																																																						0
hidedead	187																											1	1			1																																							0
paralyze	188																																																								100	105	255	255	255										0
desecrated	189																												1	1																																									0
eagleeye	190	2																																									quickness							attackrate																					0
glacialfocus	191																																																																						0
aerialshield	192	6												1																													frenzy							toblock																					0
staticfocus	193																																																																						0
divineaura	194																																										aura_of_divinity																			paladin_aura_sanctuary									0
elemcry	195																																										aura_elemcry							coldresist												barbarian_battlecry_state									0
finditem	196																																																	item_magicbonus																					0
strengthancients	197																																																																						0
ascendancy	198					1																																					valkyrie																												0
shadearmor	199	2												1																																					item_armor_percent																				0
hypothermia	200					1																																					lich_king_essence_front																			paladin_aura_holywind									0
commandmastery	201																																																																						0
superteleport	202																																										aura_elemcry							coldresist												barbarian_battlecry_state									0
howl	203																																										taunt																			barbarian_battlecry_state									0
orangenosound	204																																																								100	101	255	255	255										0
redsecondary	205																																																								70	100	255	255	255										0
scurry	206																																										receiving																												0
bonusdefensestate	207																																																																						0
stancedance	208																																				1										stancedance_1			stancedance	1	1																			0
hiddenstate2	209																																																																						0
skilldamagestate	210																																																																						0
zeal	211																																										succubae_death					succubae_death									99	109	255	255	255	paladin_handofgod_cast									0
callofthewild	212					1								1																													callofthewild							skill_armor_percent																					0
lifetapgolem	213						1																																				cursereversevampire					curse_hit														necromancer_reversevampire									0
undeadfrenzy	214					1																																					undeadfrenzy																												0
orange	215																																																								100	101	255	255	255	paladin_aura_salvation									0
hiddenstate	216																																																																						0
korliclight	217																																										korliclight																			paladin_aura_salvation									0
elementalform	218	3			1					1	1																																								14											druid_morph	druid_morph	1	911						0
penaltydefensestate	219																																																																						0
progressive_physical	220																																				1										progressive_physical_1			progressive_physical	1	1																			0
progressive_execute	221																																				1										progressive_execute_1			progressive_execute	1	1																			0
gold	222																												1	1																											85	103	255	255	255										0
cyclicstate	223																																				1										cyclicstate_1			cyclicstate	1	1																			0
annihilationdebuff	224																																										aura_elemcry																												0
ravagedebuff	225																																																								100	106	255	255	255										0
furyofcreationdebuff	226																																										aura_elemcry																												0
bladenova	227																																										bladeshield																												0
lifepact	228	7																																									lifepact																												0
justkilledboss	229																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul									0
valkyriemastery	230																																																																						0
justkilledbosstwo	231																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul									0
justkilledbossthree	232																																										baal_on_throne														102	112	255	255	255	paladin_redeemed_soul									0
celestialempowerment	233																																																								100	101	255	255	255	paladin_aura_salvation									0
exclusiveskill	234	8																																			1										exclusiveskill_1			exclusiveskill	1	1																			0
coldenchant	235											1	1																																			frozenarmor		skill_cold_enchant					weap	cblu															0
oddcharmaura	236					1																																																																	0
athuluawisdom	237																																																																						0
thunderlightning	238																																																								90	113	255	255	255										0
windmastery	239																																																																						0
generalmythicalarmorstate	240																																																																						0
damagebonusnew	241					1																																																																	0
headhunterphysicaldamage	242																																										undeadfrenzy																			barbarian_shout_1									0
headhunterstats	243																																										callofthewild							skill_armor_percent												paladin_aura_sanctuary									0
headhunterelementaldamage	244																																										exclusiveskill_1																			paladin_aura_purification									0
headhunterresistances	245																																										aura_resistall_front	aura_resistall_back				cast_resistall		lightresist												paladin_aura_salvation									0
headhunterspeed	246																																										staminafront	staminaback						maxstamina												paladin_aura_stamina									0
headhunterskills	247																																										aura_of_divinity																			paladin_aura_meditation									0
headhunterhealth	248																																										battleorders																			barbarian_battleorders_1									0
white	249																																																								90	111	255	255	255										0
firecontrolprogressive	250																																				1										firecontrolprogressive_1			firecontrolprogressive	1	1																			0
empoweredenchant	251																																										thunderstormfront					enchant		skill_enchant																					0
eternalhourglass	252																																										baal_on_throne																			paladin_redeemed_soul									0
bonemastery	253																																																																						0
magicmastery	254																																																																						0
