Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
83	323	323	1206	323	323	1206	4636	8236	17324	4636	8236	17324	835	3576	6249	1003	3576	6249	61	81	112	61	81	112	5749	32318	34093	5749	32318	34093
84	327	327	1219	327	327	1219	4692	8328	17524	4692	8328	17524	853	3634	6370	1024	3634	6370	61	81	112	61	81	112	5853	33224	34710	5853	33224	34710
85	331	331	1233	331	331	1233	4752	8424	17720	4752	8424	17720	870	3690	6491	1044	3690	6491	62	82	115	62	82	115	5957	34130	35305	5957	34130	35305
86	335	335	1246	335	335	1246	4808	8516	17916	4808	8516	17916	887	3749	6612	1065	3749	6612	63	84	117	63	84	117	6061	35036	35877	6061	35036	35877
87	339	339	1259	339	339	1259	4864	8608	18116	4864	8608	18116	904	3805	6732	1085	3805	6732	63	84	117	63	84	117	6165	35942	36425	6165	35942	36425
88	343	343	1272	343	343	1272	4924	8704	18312	4924	8704	18312	921	3864	6853	1106	3864	6853	64	86	120	64	86	120	6269	36848	36950	6269	36848	36950
89	347	347	1285	347	347	1285	4980	8796	18512	4980	8796	18512	805	3359	5978	966	3359	5978	60	80	112	60	80	112	6373	37754	37451	6373	37754	37451
90	351	351	1300	351	351	1300	5036	8892	18708	5036	8892	18708	820	3409	6081	985	3409	6081	60	80	112	60	80	112	6477	38660	37927	6477	38660	37927
91	354	354	1313	354	354	1313	5096	8984	18904	5096	8984	18904	836	3460	6184	1004	3460	6184	61	81	114	61	81	114	6581	39566	38379	6581	39566	38379
92	358	358	1326	358	358	1326	5152	9076	19104	5152	9076	19104	852	3508	6288	1023	3508	6288	61	81	114	61	81	114	6685	40472	38805	6685	40472	38805
93	362	362	1339	362	362	1339	5208	9172	19300	5208	9172	19300	867	3558	6392	1041	3558	6392	62	83	115	62	83	115	6789	41378	39206	6789	41378	39206
94	366	366	1352	366	366	1352	5264	9264	19500	5264	9264	19500	883	3605	6495	1060	3605	6495	63	84	117	63	84	117	6893	42284	39582	6893	42284	39582
95	370	370	1366	370	370	1366	5324	9360	19696	5324	9360	19696	900	3655	6598	1080	3655	6598	63	84	117	63	84	117	6997	43190	39932	6997	43190	39932
96	374	374	1379	374	374	1379	5380	9452	19892	5380	9452	19892	915	3704	6702	1099	3704	6702	64	85	119	64	85	119	7101	44096	40255	7101	44096	40255
97	378	378	1392	378	378	1392	5436	9544	20092	5436	9544	20092	931	3754	6806	1118	3754	6806	64	85	119	64	85	119	7205	45002	40551	7205	45002	40551
98	382	382	1405	382	382	1405	5496	9640	20288	5496	9640	20288	947	3803	6909	1137	3803	6909	66	88	122	66	88	122	7309	45908	40821	7309	45908	40821
99	386	386	1418	386	386	1418	5552	9732	20488	5552	9732	20488	963	3852	7012	1156	3852	7012	66	88	122	66	88	122	7413	46814	41063	7413	46814	41063
100	390	390	1432	390	390	1432	5608	9828	16000	5608	9828	16000	981	3900	7000	1178	3900	7000	67	89	100	67	89	100	7517	47720	41277	7517	47720	41277
101	393	393	1445	393	393	1445	5668	9920	16800	5668	9920	16800	998	3950	7300	1198	3950	7300	68	90	105	68	90	105	7621	48626	41464	7621	48626	41464
102	397	397	1458	397	397	1458	5724	10012	17600	5724	10012	17600	1015	3998	7600	1219	3998	7600	68	90	110	68	90	110	7725	49532	41622	7725	49532	41622
103	401	401	1471	401	401	1471	5780	10108	18400	5780	10108	18400	1032	4049	7900	1239	4049	7900	69	92	115	69	92	115	7829	50438	41751	7829	50438	41751
104	405	405	1484	405	405	1484	5836	10200	19200	5836	10200	19200	1050	4097	8200	1261	4097	8200	69	92	120	69	92	120	7933	51344	41851	7933	51344	41851
105	409	409	1498	409	409	1498	5896	10296	20000	5896	10296	20000	1067	4147	8500	1281	4147	8500	70	93	125	70	93	125	8037	52250	41922	8037	52250	41922
106	413	413	1511	413	413	1511	5952	10388	20800	5952	10388	20800	1085	4198	8800	1302	4198	8800	71	94	130	71	94	130	8141	53156	41963	8141	53156	41963
107	417	417	1524	417	417	1524	6008	10480	21600	6008	10480	21600	1102	4244	9100	1323	4244	9100	71	94	135	71	94	135	8245	54062	41974	8245	54062	41974
108	421	421	1537	421	421	1537	6068	10576	22400	6068	10576	22400	1120	4295	9400	1344	4295	9400	72	96	140	72	96	140	8349	54968	41955	8349	54968	41955
109	425	425	1550	425	425	1550	6124	10668	23200	6124	10668	23200	1136	4343	9700	1364	4343	9700	73	97	145	73	97	145	8453	55874	41905	8453	55874	41905
110	2100	2100	2100	2100	2100	2100	26128	26128	26128	26128	26128	26128	8333	10000	10000	10000	10000	10000	130	130	130	130	130	130	160000	160000	160000	160000	160000	160000
