skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	IconCel	HireableIconCel	str name	str short	str long	str alt	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc2line5	dsc2texta5	dsc2textb5	dsc2calca5	dsc2calcb5	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	*eol
blaze	1	3	1	1	20		skillname46	skillld46	skillld46	skillname46	9													blaze			36	StrSkill3		usmc	256	75	StrSkillFireDamageAveragePerSecond		enms*25*3/256	exms*25*3/256	74	uptofireresistreduction		clc1		74	StrSkill89		ln34		36	StrSkillRadiusSingular	StrSkill18	12+lvl/3	3						36	StrSkillBlazeDuration	StrSkillBlazeDuration	len	25																					40	Sksyn	skillname46	2		76	Firedplev	flamewave1	par8		76	Firedplev	Skillname370	par8		76	Firedplev	moltenfocus1	par8*2																	0
fire ball	1	3	3	1	22	14	skillname47	skillld47	skillld47	skillname47	5																36	StrSkill3		usmc	256	75	StrSkill5		enma	exma	74	StrSkill220		ast1		36	StrSkillRadiusSingular	StrSkill18	clc1*2	3											18	fireballstacks																								40	Sksyn	skillname47	2		76	Firedplev	skillname36	par8		76	Firedplev	rainoffire1	par8		76	Firedplev	moltenfocus1	par8*2																	0
nova	1	6	1	1	24	45	immolation1	immolation3	immolation3	immolation1	5													elementalnovafirebolt	elementalnovacoldbolt	elementalnovalightningbolt	36	StrSkill3		usmc	256	75	StrSkill7		m3en	m3ex	36	StrSkillFreezeLengthSingular	StrSkill62	edln	25	75	StrSkill6		m2en	m2ex	75	StrSkill5		m1en	m1ex																															40	Sksyn	immolation1	2		76	Firedplev	allfireskills	par8		76	Colddplev	allcoldskills	par8		76	Ltngdplev	alllightningskills	par8		76	Firedplev	moltenfocus1	par8*2		76	Colddplev	glacialfocus1	par8*2		76	Ltngdplev	staticfocus1	par8*2		0
shiver armor	1	1	2	1	28		firearmor1	firearmor3	firearmor3	firearmor1																	36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	len	25	74	StrSkill21		ast1		74	StrSkill220		-ast2		74	lifereplenish		ast3																																40	Sksyn	firearmor1	2		76	bonuseffectivenesssynergy	moltenfocus1	par8																											0
fire wall	1	1	1	1	76		flamewave1	flamewave23	flamewave23	flamewave1	9													fire wave maker			36	StrSkill3		usmc	256	75	StrSkillFireDamageAveragePerSecond		enms*25*3/256	exms*25*3/256																					74	scorchstacks		6																						40	Sksyn	flamewave1	2		76	Firedplev	skillname46	par8		76	Firedplev	Skillname370	par8		76	Firedplev	moltenfocus1	par8*2																	0
enchant	1	4	2	1	32	15	skillname52	skillld52	skillld52	skillname52																	75	StrSkill5		enma	exma	74	StrSkill22		toht		36	StrSkillDurationSingular	StrSkill20	len	25																36	StrSkill3		usmc	256																					40	Sksyn	skillname52	2		76	Firedplev	Skillname368	par8		76	Firedplev	meteorshower1	par8																						0
teleport	2	5	2	2	36		skillname54	skillld54	skillld54	skillname54																	36	StrSkill3		"max(usmc, 1)"	256																																																																																						0
glacial spike	3	3	3	3	38	17	skillname55	skillld55	skillld55	skillname55	5																36	StrSkill3		usmc	256	36	StrSkillFreezeLengthSingular	StrSkill29	len	25	75	StrSkill6		enma	exma	36	StrSkillRadiusSingular	StrSkill18	rng*2	3																																				40	Sksyn	skillname55	2		76	Colddplev	skillname39	par8		76	Colddplev	permafrost1	par8		76	Colddplev	glacialfocus1	par8*2																	0
meteor	1	5	3	1	40		rainoffire1	rainoffire3	rainoffire3	rainoffire1	5																36	StrSkill3		usmc	256	75	StrSkill5		enma	exma																					74	StrSkill18		6		36	StrSkillCooldownSingular	StrSkillCooldown	clc6	25	18	rainoffirestacks														40	Sksyn	rainoffire1	2		76	Firedplev	skillname36	par8		76	Firedplev	skillname47	par8		76	Firedplev	moltenfocus1	par8*2																	0
energy shield	2	3	2	2	44		skillname58	skillld58	skillld58	skillname58																	36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	len	25	3	StrSkill163	StrSkill23	clc6																	74	StrSkill41		clc1																																																									0
blizzard	3	3	1	3	46	43	skillname59	skillld59	skillld59	skillname59	5													blizzardcenter			36	StrSkill3		usmc	256	74	shardspersecond		25/clc2		36	StrSkillRadiusSingular	StrSkill18	clc1*2	3	74	chancetofreeze		10+lvl/2		36	coldandfreezelength	coldandfreezelength	len	25	75	StrSkill6		enma	exma	36	StrSkillDurationSingular	StrSkill20	miss('blizzardcenter'.rang)	25	74	shardsperlevel		15		36	StrSkillCooldownSingular	StrSkillCooldown	clc6	25											40	Sksyn	skillname59	2		76	Colddplev	Skillname371	par8		76	Colddplev	orbofwinter1	par8		76	Colddplev	glacialfocus1	par8*2		76	coldandfreezelengthplev	orbofwinter1	par8												0
chilling armor	3	1	2	3	48	25	shiverarmor1	shiverarmor3	shiverarmor3	shiverarmor1																	36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	len	25	74	StrSkill21		ast1		74	StrSkill223		-ast2		74	physicaldamage		ast3																																40	Sksyn	shiverarmor1	2		76	bonuseffectivenesssynergy	glacialfocus1	par8																											0
fire mastery	1	6	2	1	50		skillsname61	skillsname61	skillsname61	skillsname61																																																																																																											0
hydra	2	5	1	2	52	49	lighthydra1	lighthydra3	lighthydra3	lighthydra1	5																36	StrSkill3		usmc	256	75	StrSkill7		enma	exma																					36	StrSkillDurationSingular	StrSkill20	len	25	74	StrSkillHydraMax		5																	40	Sksyn	lighthydra1	2		76	Ltngdplev	skillname42	par8		76	Ltngdplev	skillname43	par8		76	Ltngdplev	staticfocus1	par8*2																	0
lightning mastery	2	6	2	2	54		skillname63	skillname63	skillname63	skillname63																																																																																																											0
cold mastery	3	6	2	3	58		skillname65	skillname65	skillname65	skillname65																																																																																																											0
amplify damage	1	2	1	1	0		skillname66	skillld66	skillld66	skillname66																	36	StrSkillDurationSingular	StrSkill20	len	25	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	enemyphysicalresist		ast1																	36	StrSkill3		usmc	256																					40	Sksyn	skillname66	2		76	PhysicalResistplevhalf	anyothercurse	-1																											0
teeth	2	3	3	2	2		bonewave1	bonewave3	bonewave3	bonewave1	5																36	StrSkill3		usmc	256	75	StrSkill39		enma	exma	74	StrSkill28		clc1																																										40	Sksyn	bonewave1	2		76	Magdplev	skillname68	par8		76	Magdplev	skillname88	par8		76	Magdplev	bonemastery1	par8		76	Magdplev	skillname74	par8												0
bone armor	2	1	1	2	4		skillname68	skillld68	skillld68	skillname68																	36	StrSkill3		usmc	256	74	flatphysicaldamagereduction		ast3		74	bonusphysicalresist		ast4		74	magicskilldamage		ast1		74	lifeaftereachkill		ast2							36	StrSkillDurationSingular	StrSkill20	len	25																																																								0
skeleton mastery	3	1	1	3	6		skillname69	skillld69	skillld69	skillname69																	74	skeletonkingdamagesynergy		lvl*par4		74	skeletonkinglifesynergy		lvl*par7		74	SkeletonsMageAttack		lvl*par6		74	SkeletonsDam		lvl*par2		74	SkeletonsMageDef		lvl*par5		74	SkeletonsMageLife		lvl*par1																																											StrSkill203																			0
raise skeleton	3	1	3	3	8		skillname70	raiseskeleton3	raiseskeleton3	skillname70																	36	StrSkill3		usmc	256	36	StrSkill94	StrSkill44	pets		5	StrSkill208		ast1*(100+toht)/100		75	StrSkill4		pnma	pnma	74	StrSkillDefense		ast2		13	StrSkill42		clc1																											40	Sksyn	skillname70	2		76	Hpplev	StrSkill203	skill('Skeleton Mastery'.par1)		76	Defplev	StrSkill203	skill('Skeleton Mastery'.par5)		76	Damplev	StrSkill203	skill('Skeleton Mastery'.par2)		76	AttRateplev	StrSkill203	skill('Skeleton Mastery'.par6)		18	skillname69				18	skillname89				0
dim vision	1	2	2	1	10		skillname71	dimvision3	dimvision3	skillname71																	36	StrSkillDurationSingular	StrSkill20	len	25	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	3	poisonMasteryMag	StrSkill23	ast1		3	poisonMasteryPois	StrSkill23	ast2												36	StrSkill3		usmc	256						74	StrAttackRating		ast1												40	Sksyn	skillname71	2		76	MagicPoisonResistplevhalf	anyothercurse	-1																											0
weaken	1	1	1	1	12		skillname72	weaken3	weaken3	skillname72																	36	StrSkillDurationSingular	StrSkill20	len	25	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	StrSkill38		ast1		74	enemyelementalresist		ast2												36	StrSkill3		usmc	256																					40	Sksyn	skillname72	2		76	EnemyDamageplevhalf	anyothercurse	-1		76	EnemyEleResistplevhalf	anyothercurse	-1																						0
poison dagger	2	1	2	2	14		poisonDagger1	poisonDagger2	poisonDagger2	poisonDagger1	25	960	960										1				36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	edln	25	74	StrSkill22		toht		74	enemymagicresist		clc5*ast1		74	enemyphysicalresist		clc5*ast2							74	poisonweapondamagepersecond		200																						40	Sksyn	poisonDagger1	2		76	AttRateplev	Skillname373	par8		18	poisonweaponpiercesynergy																								0
corpse explosion	2	2	2	2	16		skillname74	skillld74	skillld74	skillname74																	36	StrSkill3		usmc	256	36	StrSkillRadiusSingular	StrSkill18	ln34	3	75	StrSkill46		clc1	clc2																74	phystomagicdesc		min(100,skill('Poison Mastery'.blvl)*5)																						40	Sksyn	skillname74	2		76	phystomagic	Skillname372	5		74	corpseexpsynergy1		par8		76	corpseexplosionmagicsynergy	skillname68	par8		76	corpseexplosionmagicsynergy	Skillname374	par8												0
clay golem	3	2	2	3	18		skillname75	claygolem23	claygolem23	skillname75																	36	StrSkill3		usmc	256	74	maxgolems		pets		5	StrSkill208		pst2*(100+toht)/100		75	StrSkill4		pnma	pnma	74	StrSkillDefense		pst3		13	StrSkill42		clc1		74	Cgslow		ast1		18	maxgolemsdesc																			40	Sksyn	skillname75	2		76	Hpplev	skillname85	skill('BloodGolem'.par8)		76	Defplev	skillname90	skill('IronGolem'.par8)		76	Damplev	skillname94	skill('FireGolem'.par8)		18	skillname79				18	skillname89									0
iron maiden	1	3	1	1	20		skillname76	skillld76	skillld76	skillname76																	36	StrSkillDurationSingular	StrSkill20	len	25	74	StrSkill55		clc1		36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	enemyphysicalresist		ast1												36	StrSkill3		usmc	256																					40	Sksyn	skillname76	2		76	PhysicalResistplevhalf	anyothercurse	-1		76	Damplev	anyothercurse	par7																						0
terror	1	1	3	1	22		skillname77	terror3	terror3	skillname77																	36	StrSkillDurationSingular	StrSkill20	len	25	36	StrSkillRadiusSingular	StrSkill18	rng*2	3																					36	StrSkill3		usmc	256	18	cursestack																			40	Sksyn	skillname77	2		76	secondsplevhalf	anyothercurse	1		76	shockWebYards	anyothercurse	1																						0
bone wall	2	5	3	2	24		skillname78	skillld78	skillld78	skillname78																	13	StrSkill42		(par1 * (lvl-1)) + ((skill('Bone Armor'.blvl)+skill('Bone Prison'.blvl)+skill('Bone Spirit'.blvl)+skill('Teeth'.blvl))*par8)																											36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	par2	25																40	Sksyn	skillname78	2		76	Hpplev	skillname68	par8		76	Hpplev	skillname88	par8		76	Hpplev	skillname93	par8		76	Hpplev	bonewave1	par8												0
golem mastery	3	3	1	3	26		skillname79	skillld79	skillld79	skillname79																	74	StrSkill106		ln34/2		74	StrSkill89		ln34		74	StrSkillAttackRating		ln56		74	StrSkillLifePercent		ln12																																																																								0
raise skeletal mage	3	3	3	3	28		skillname80	raiseskeletalmage3	raiseskeletalmage3	skillname80																	36	StrSkill3		usmc	256	36	StrSkill43a	StrSkill44a	pets		5	StrSkill202		clc2		74	StrSkillDefense		clc3		13	StrSkill42		clc1																																40	Sksyn	skillname80	2		76	Hpplev	StrSkill251	skill('Skeleton Mastery'.par1)		76	Defplev	StrSkill251	skill('Skeleton Mastery'.par5)		76	Damplev	StrSkill251	skill('Skeleton Mastery'.par2)		18	skillname69				18	skillname89									0
confuse	1	2	3	1	30		skillname81	confuse3	confuse3	skillname81																	36	StrSkillDurationSingular	StrSkill20	len	25	36	StrSkillRadiusSingular	StrSkill18	rng*2	3																					36	StrSkill3		usmc	256																					40	Sksyn	skillname81	2		76	secondsplevhalf	anyothercurse	1		76	shockWebYards	anyothercurse	1																						0
life tap	1	5	1	1	32		skillname82	skillld82	skillld82	skillname82																	36	StrSkillDurationSingular	StrSkill20	len	25	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	StrSkill79		clc1																	36	StrSkill3		usmc	256																					40	Sksyn	skillname82	2		76	lifestolenplev	anyothercurse	1																											0
poison explosion	2	6	2	2	34		skillname83	skillld83	skillld83	skillname83	5																36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		enms*edln/256	exms*edln/256																					36	StrSkill3		usmc	256																					40	Sksyn	skillname83	2		76	Poisdplev	poisonDagger1	par8		76	Poisdplev	skillname92	par8		76	Poisdplev	skillname74	par8		76	Poisdplev	skillname68	par8												0
frozenspear	2	3	1	2	36		frozenspear1	frozenspear3	frozenspear3	frozenspear1	5																36	StrSkill3		usmc	256	75	StrSkill39		enma	exma	74	frozenSpearChain		clc1																																										40	Sksyn	frozenspear1	2		76	Magdplev	skillname68	par8		76	Magdplev	Skillname374	par8		76	Magdplev	skillname93	par8		76	Magdplev	skillname74	par8												0
bloodgolem	3	3	2	3	38		skillname85	bloodgolem23	bloodgolem23	skillname85																	36	StrSkill3		usmc	256	74	maxgolems		pets		5	StrSkill208		pst2*(100+toht)/100		75	StrSkill4		pnma	pnma	74	StrSkillDefense		ast2		13	StrSkill42		clc1		36	lifetapgolemduration	lifetapgolemduration	100+lvl*5	25	36	lifetapgolemsteal	lifetapgolemsteal	(75+lvl*25/4)	25	18	maxgolemsdesc														40	Sksyn	skillname85	2		76	AttRateplev	skillname75	skill('Clay Golem'.par8)		76	Defplev	skillname90	skill('IronGolem'.par8)		76	Damplev	skillname94	skill('FireGolem'.par8)		18	skillname79				18	skillname89									0
