index	*ID	version	enabled	*Skip Generation	ladder	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Dandelion Petal	18	100	1			16	1	45	45	drn	Ring		12	40000	oran	oran						dru		1	1	res-fire/lvl	4			res-cold/lvl	4			res-ltng/lvl	4			res-pois/lvl	4			skill	Shape Shifting	1	10	regen		100	100	charged	Teleport	7	1	heal-kill		5	10	gold%		20	40										0
Red Rose Petal	19	100	1			16	1	45	45	arn	Ring		12	40000	dred	dred						ass		1	1	res-fire/lvl	4			res-cold/lvl	4			res-ltng/lvl	4			res-pois/lvl	4			skill	Blade Nova	1	10	balance1		20	20	charged	Teleport	7	1	heal-kill		5	10	gold%		20	40										0
Elven Blessing	20	0	1			6	1	60	60	zrn	Ring		12	40000	cgrn	cgrn						ama		2	2	res-all		15	20	mag%		20	100	dex		25	25	enr		25	25	att-skill	Fend	5	45	balance3		20	20	swing2		20	20	move2		20	20	att/lvl	6			att		200	300						0
Khelek's Crystal Band	21	0	1			6	1	60	60	srn	Ring		12	40000				invkhelek				sor		2	2	res-all		15	20	mag%		20	100	res-mag		15	20	dmg-to-mana		30	50	mana/lvl	16			cast2		20	25	oskill	Lower Resist	1	8	skill	Teleport	8	8	skill	Time Stop	8	8										0
Vorador's Essence	22	0	1			3	1	60	60	nrn	Ring		12	40000	dgrn	dgrn						nec		2	2	red-dmg%		10	15	extra-summ		10	20	skill	Golem Mastery	1	15	skill	Skeleton Mastery	1	15	skill	Summon Resist	1	15	move3		20	20	ac%		50	100	cast2		20	20	mana%		20	20	oskill	Magic Mastery	1	1	hp%		20	20		0
Rock of Aadeyen	23	0	1			6	1	60	60	prn	Ring		12	40000	cblu	cblu						pal		2	2	res-all		15	30	mag%		20	100	str		25	25	swing2		20	20	dex		25	25	hp%		30	30	life-on-striking		1	2	att/lvl	6			pierce-fire		10	15	pierce-cold		10	15	pierce-ltng		10	15		0
Madawc's Frenzy	24	0	1			6	1	60	60	brg	Ring		12	40000	oran	oran						bar		2	2	move3		30	30	mag%		20	100	str		30	30	swing2		30	30	dmg/lvl	4			skill	Battle Command	8	8	lifesteal		7	10	dmg-norm		10	20	pierce-ltng		10	20										0
Alakashar Rahl	25	100	1			6	1	60	60	drn	Ring		12	40000	cgrn	cgrn						dru		2	2	dmg/lvl	4			mag%		20	100	str		25	25	att/lvl	6			deadly		20	20	crush		20	20	vit		25	25	ac%		25	25	cast2		20	20	passive-summ-elemental-resist		10	20	passive-summ-phys-resist		4	7		0
Lilith's Heart	26	100	1			6	1	60	60	arn	Ring		12	40000	cred	cred						ass		2	2	res-all		15	20	mag%		20	100	hp%		15	15	reduce-ac		30	50	hp/lvl	12			red-mag		15	25	extra-summ		10	30	swing2		20	20	balance3		20	20										0
Dfuzzz's Fingerguard	27	0	1			2	1	75	75	zrn	Ring		12	40000	oran	oran						ama		2	2	skill-rand	5	418	452	dmg%		50	100	dex/lvl	8			res-all		20	25	mag%		30	35	hit-skill	Time Stop	1	60	oskill	Quickness	5	15	swing2		30	30	addxp		3	3	skill-rand	5	418	452	skill	Wisdom of Athulua	5	15		0
Killashandra Ree's Black C	28	0	1			2	1	75	75	srn	Ring		12	40000	blac	blac						sor		2	2	skill-rand	5	453	487	ac/lvl	40			enr/lvl	8			res-all		20	25	mag%		30	35	kill-skill	Time Stop	5	60	regen-mana		100	200	cast2		30	30	addxp		3	3	skill-rand	5	453	487	skill	Omnipotence	5	15		0
BlackMage's Knucklebone	29	0	1			2	1	75	75	nrn	Ring		12	40000	dgry	dgry						nec		2	2	skill-rand	5	488	523	ac/lvl	40			enr/lvl	8			res-all		20	25	mag%		30	35	kill-skill	Bone Armor	10	60	oskill	Energy Shield	5	15	mana		200	200	addxp		3	3	skill-rand	5	488	522	skill	Bone Mastery	5	15		0
The Tipsy Donut	30	0	1			2	1	75	75	prn	Ring		12	40000	cred	cred						pal		2	2	skill-rand	5	524	557	dmg%		50	100	str/lvl	8			res-all		20	25	mag%		30	35	kill-skill	Fist of the Heavens	10	60	oskill	Summon Grizzly	5	15	extra-summ-total		5	5	addxp		3	3	skill-rand	5	523	557	skill	Fanaticism	5	15		0
The Mad Celt's Shining Sparkly	31	0	1			2	1	75	75	brg	Ring		12	40000	dgrn	dgrn						bar		2	2	skill-rand	5	558	592	dmg%		50	100	str/lvl	8			res-all		20	25	mag%		30	35	kill-skill	Pole Arm Mastery	5	60	oskill	Wisdom of Athulua	5	15	crush		30	30	addxp		3	3	skill-rand	5	558	592	skill	Natural Resistance	5	15		0
Yagul's Wrath	32	100	1			2	1	75	75	drn	Ring		12	40000	dblu	dblu						dru		2	2	skill-rand	5	593	627	dmg%		50	100	vit/lvl	8			res-all		20	25	mag%		30	35	kill-skill	Monsoon	5	60	oskill	Battle Command	5	15	deadly		30	30	addxp		3	3	skill-rand	5	593	627	skill	Fury	5	15		0
Killjoy's Attitude	33	100	1			2	1	75	75	arn	Ring		12	40000	blac	blac						ass		2	2	skill-rand	5	628	662	dmg%		50	100	vit/lvl	8			res-all		20	25	mag%		30	35	kill-skill	Fire Trauma	10	60	oskill	Critical Strike	5	15	pierce-cold		20	20	addxp		3	3	skill-rand	5	628	662	skill	Shadow Master	5	15		0
Lovers' Pendant	34	0	1			6	1	10	5	amu	Amulet		7	15000	cred	cred		invamu1				regen		50	100	regen-mana		40	80	heal-kill		10	20	mana-kill		5	10	mag%		50	100	move2		20	40																										0
Eye of the Witch	35	0	1			5	1	20	10	amu	Amulet		8	20000	lblu	lblu		invamu2				allskills		1	2	mana		50	100	light		3	3	cast1		15	15	oskill	Meditation	1	1	regen-mana		30	30	move1		15	15	res-cold		20	40	res-ltng		20	40	oskill	Slow Teleport	1	1	nofreeze		1	1						0
Collar of the Minotaur	36	0	1			4	1	30	20	amu	Amulet		9	25000	dred	dred		invamu3				red-dmg%		10	20	oskill	Charge	10	15	swing2		-30	-30	move2		30	30	dmg-norm		25	50	aura	Might	5	10	crush		20	40	vit		25	50																		0
Beads of the Guardian	37	0	1			3	1	40	30	amu	Amulet		10	30000	lgry	lgry		invamu4				oskill	Energy Shield	3	3	skill	Energy Shield	17	22	res-all		40	60	dodge		10	10	gethit-skill	Time Lapse	1	10	ac		500	500	regen		300	400	regen-mana		100	150																		0
Eye of the Beholder	38	0	1			1	1	60	50	amu	Amulet		12	40000	bwht	bwht		invamu5				aura-hidden	Eye of the Beholder Aura	1	1	mythicaldescnoflag	1227	1	1	allskills		1	1	hp		100	100	mana		100	100	ac		100	200	item-skill-cooldown		5	15	all-stats		20	30	mana-on-striking		1	1														0
Spellcasters Aide	39	0	1			1	1	75	60	amu	Amulet		12	40000	cgrn			invamu7				aura-hidden	Spellcaster Aide Aura	1	1	mythicaldescnoflag	1226	1	1	allskills		1	2	cast2		40	60	mana%		20	30	oskill	Glacial Focus	1	5	res-mag		5	10	red-dmg%		5	10																		0
Talisman of Benzaiten	40	0	1			16	1	45	45	zam	Amulet		12	40000	oran	oran						allskills		1	1	skilltab	0	0	1	skilltab	1	0	1	skilltab	2	0	1	red-dmg%		10	10	skill	all-stats-percent	10	20	ac/lvl	40			gold%		50	100	regen		50	100	dex/lvl	6												0
Talisman of Fukurokuju	41	0	1			16	1	45	45	sam	Amulet		12	40000	cred	cred		invfukurokuju				allskills		1	1	skilltab	3	0	1	skilltab	4	0	1	skilltab	5	0	1	red-dmg%		10	10	skill	all-stats-percent	10	20	ac/lvl	40			gold%		50	100	regen		50	100	enr/lvl	6												0
Talisman of Ebisu	42	0	1			16	1	45	45	nam	Amulet		12	40000	dred	dred						allskills		1	1	skilltab	6	0	1	skilltab	7	0	1	skilltab	8	0	1	red-dmg%		10	10	skill	all-stats-percent	10	20	ac/lvl	40			gold%		50	100	regen		50	100	enr/lvl	6												0
Talisman of Daikokuten	43	0	1			16	1	45	45	pam	Amulet		12	40000	blac	blac						allskills		1	1	skilltab	9	0	1	skilltab	10	0	1	skilltab	11	0	1	red-dmg%		10	10	skill	all-stats-percent	10	20	ac/lvl	40			gold%		50	100	regen		50	100	str/lvl	6												0
Talisman of Bishamonten	44	0	1			16	1	45	45	bam	Amulet		12	40000	dblu	dblu						allskills		1	1	skilltab	12	0	1	skilltab	13	0	1	skilltab	14	0	1	red-dmg%		10	10	skill	all-stats-percent	10	20	ac/lvl	40			gold%		50	100	regen		50	100	str/lvl	6												0
Talisman of Hotei	45	100	1			16	1	45	45	dam	Amulet		12	40000	dyel	dyel						allskills		1	1	skilltab	15	0	1	skilltab	16	0	1	skilltab	17	0	1	red-dmg%		10	10	skill	all-stats-percent	10	20	ac/lvl	40			gold%		50	100	regen		50	100	vit/lvl	6												0
Talisman of Kisshoten	46	100	1			16	1	45	45	aam	Amulet		12	40000	cred	cred						allskills		1	1	skilltab	18	0	1	skilltab	19	0	1	skilltab	20	0	1	red-dmg%		10	10	skill	all-stats-percent	10	20	ac/lvl	40			gold%		50	100	regen		50	100	dex/lvl	6												0
Valhalla's Pendant	47	0	1			6	1	60	60	zam	Amulet		12	40000	bwht	bwht						ama		2	2	skill	Valkyrie	5	10	skilltab	1	1	1	dmg%		50	100	deadly		33	33	kill-skill	Elemental Mastery	25	10	hp		60	60	str		50	50	vit		50	50	regen		50	150										0
Jade's Locket	48	0	1			6	1	60	60	sam	Amulet		12	40000	cblu	cblu						sor		2	2	cast3		30	30	mana%		15	15	mana		60	60	hp		60	60	red-mag		15	25	res-all		35	35	skill	Enchant	6	6	red-dmg%		10	20	res-pois-max		5	5	res-pois		50	75	res-pois-len		50	75		0
Daeveran's Stone	49	0	1			6	1	60	60	nam	Amulet		12	40000	lgry	lgry						nec		2	2	hp%		15	15	gethit-skill	Cyclone Armor	10	30	cast3		30	30	res-all		25	25	hp		60	60	skill	Bone Armor	5	10	regen		50	150	regen-mana		50	100	move2		20	20	red-dmg%		10	20						0
Holy Deviant	50	0	1			6	1	60	60	pam	Amulet		12	40000	whit	whit						pal		2	2	oskill	Poison Mastery Passive	1	7	abs-mag%		1	3	lifesteal		8	12	manasteal		4	8	hit-skill	Poison Nova	2	50	skilltab	9	1	1	pierce-pois		40	50	enr		20	20	str		20	20	oskill	Venom	25	25						0
Khisanth	51	0	1			6	1	60	60	bam	Amulet		12	40000	oran	oran						bar		2	2	red-dmg%		10	20	red-mag		15	25	skill	Natural Resistance	4	4	skill	Iron Skin	4	4	strpercent		10	20	swing3		30	30	hp/lvl	8			str		25	25	regen		50	150	skilltab	13	2	3						0
Grim Creaper	52	100	1			6	1	60	60	dam	Amulet		12	40000	dgrn	dgrn						dru		2	2	skill	Raven	7	7	oskill	Taunt	10	20	crush		15	30	balance3		30	30	ac%		50	100	dex		30	30	skilltab	15	1	1	extra-summ		10	20	skill	Summon Spirit Wolf	7	7	skill	Summon Fenris	7	7						0
Sub Sanity	53	100	1			6	1	60	60	aam	Amulet		12	40000	cblu	cblu						ass		2	2	dmg%		50	100	skilltab	20	1	1	skill	Fade	4	4	skill	Quickness	4	4	skill	Shade Armor	4	4	hit-skill	Amplify Damage	5	30	dex		20	20	enr		20	20	vit		20	20										0
Plague's Last Arrowhead	54	0	1			2	1	75	75	zam	Amulet		12	40000	cgrn	cgrn						ama		1	1	res-all		30	50	mana-on-striking		1	2	swing1		30	30	mag%		35	50	all-stats		25	40	res-all-max		2	5	allskills		1	1	kill-skill	Fire Flash	1	60	kill-skill	Cold Flash	1	60	hit-skill	Lightning Flash	1	60						0
The Mistress' Leather Collar	55	0	1			2	1	75	75	sam	Amulet		12	40000	dgrn	dgrn						sor		1	1	res-all		30	50	life-on-striking		2	5	swing2		30	30	mag%		35	50	all-stats		25	40	res-all-max		2	5	allskills		1	1	hit-skill	Shackles	3	25	knock		1	1	oskill	Pierce	20	30	kill-skill	Multiple Shot	17	45		0
The Cursed Donut	56	0	1			2	1	75	75	nam	Amulet		12	40000	blac			invcurseddonut				nec		1	1	res-all		30	50	lifesteal		40	60	swing2		30	30	mag%		35	50	all-stats		25	40	res-all-max		2	5	allskills		1	1	oskill	SGrim Ward	20	30	att-skill	Lothar Wrath	10	45	nofreeze		1	1						0
BlackKnight's Holy Signet	57	0	1			2	1	75	75	pam	Amulet		12	40000	dblu	dblu						pal		1	1	res-all		30	50	dmg-min		30	40	balance1		30	30	mag%		35	50	all-stats		25	40	res-all-max		2	5	allskills		1	1	att-skill	Killer Scythe Proc	17	60	heal-kill		80	100										0
Smaqdoun's Painful Pride	58	0	1			2	1	75	75	bam	Amulet		12	40000	blac	blac						bar		1	1	res-all		30	50	lifesteal		20	30	swing1		30	30	mag%		35	50	all-stats		25	40	res-all-max		2	5	allskills		1	1	gethit-skill	Headhunter Physical Damage	5	1	red-dmg%		-30	-20	oskill	Critical Strike	1	10						0
Yagul's Bloody Rage	59	100	1			2	1	75	75	dam	Amulet		12	40000	cred	cred						dru		1	1	res-all		30	50	lifesteal		20	30	balance1		30	30	mag%		35	50	all-stats		25	40	res-all-max		2	5	allskills		1	1	kill-skill	Hunger	8	45	oskill-hidden	Hunger Enhancement	1	1	mythicaldescnoflag	1127	1	1						0
Dweia's Revenge	60	100	1			2	1	75	75	aam	Amulet		12	40000	dpur	dpur						ass		1	1	res-all		30	50	pierce-cold		10	20	cast2		30	30	mag%		35	50	all-stats		25	40	res-all-max		2	5	allskills		1	1	kill-skill	Absolute Zero	5	40	freeze		5	5	nofreeze		1	1						0
Jindujun	61	100	1			5	1	45	40	jew	Jewel		7	20000	lblu	lblu		jindujun	item_gem		item_gem	move3		30	30	dex		25	30	block		1	1	swing2		30	30	cast2		30	30																														0
Bohemian Stone	62	100	1			5	1	50	45	jew	Jewel		9	30000	cgrn	cgrn		bohemian	item_gem		item_gem	dmg-pois	25	7680	10240	red-dmg%		1	3	pierce-pois		4	5	kill-skill	Poison Surge	2	40																																		0
Icestorm Shard	63	100	1			5	1	55	50	jew	Jewel		9	30000	cblu	cblu		icestorm	item_gem		item_gem	dmg-cold	125	150	225	kill-skill	Cold Surge	2	40	pierce-cold		4	5	regen-mana		20	30																																		0
Lady Eboshi's Greed	64	100	1			5	1	50	45	jew	Jewel		8	25000	dyel	dyel		eboshi	item_gem		item_gem	gold%		1	100	mag%		1	100	lifesteal		5	8	manasteal		5	8	res-all		1	20																														0
Salamander Stone	65	100	1			5	1	55	50	jew	Jewel		9	30000	dred	dred		salamander	item_gem		item_gem	regen		25	50	dmg-fire		175	225	kill-skill	Fire Surge	2	40	pierce-fire		4	5																																		0
Nexus Star	66	100	1			5	1	50	45	jew	Jewel		8	25000	lgld	lgld		nexus	item_gem		item_gem	res-all		10	30	res-all-max		1	1	extra-mag2		5	10	dmg-mag		100	200	kill-skill	Magic Surge	2	40																														0
Smiiiff Stone	67	100	1			5	1	60	55	jew	Jewel		10	35000	dgry	dgry		smiiiff	item_gem		item_gem	ama		0	1	ass		0	1	bar		0	1	dru		0	1	nec		0	1	sor		0	1	pal		0	1	ease		-10	-5																		0
Larias' Licentious Lament	68	100	1			5	1	60	55	jew	Jewel		10	35000	lyel	lyel		larias	item_gem		item_gem	strpercent		1	5	dexpercent		1	5	vitpercent		1	5	enepercent		1	5	str		1	20	dex		1	20	vit		1	20	enr		1	20																		0
Sescheronya's Spark	69	100	1			5	1	55	50	jew	Jewel		9	30000	whit	whit		spark	item_gem		item_gem	dmg-ltng		1	400	kill-skill	Lightning Surge	2	40	pierce-ltng		4	5	hp		5	20	mana		5	20																														0
Ideal Craft	70	100	1			5	1	45	40	jew	Jewel		7	20000	dred			idealcraft	item_gem		item_gem	swing2		15	30	dmg%		40	80	att%		25	50	ease		-25	-15																																		0
Frozen Apocalypse	71	100	1			1	1	92	50	jew	Jewel		10	40000	dblu			invfrozenapocalypse				oskill	Cold Mastery	1	1	allskills		1	1	pierce-cold		4	8	abs-cold%		1	2	regen-mana		10	100	levelreq		20	20																										0
Infernal Gemstone	72	100	1			1	1	92	50	jew	Jewel		10	40000	dred			invinfernalgemstone				oskill	Fire Mastery	1	1	allskills		1	1	pierce-fire		4	8	abs-fire%		1	2	regen		20	200	levelreq		20	20																										0
Electrifying Vortex	73	100	1			1	1	92	50	jew	Jewel		10	40000	cblu			invelectrifyingvortex				oskill	Lightning Mastery	1	1	allskills		1	1	pierce-ltng		4	8	abs-ltng%		1	2	mag%		10	80	levelreq		20	20																										0
Intoxicating Crystal	74	100	1			1	1	92	50	jew	Jewel		10	40000	dgrn			invintoxicatingcrystal				oskill	Poison Mastery Passive	1	1	allskills		1	1	pierce-pois		4	8	res-pois-max		1	3	res-pois		10	30	gold%		10	80	levelreq		20	20																						0
Celestial Shard	75	100	1			1	1	92	50	jew	Jewel		10	40000	whit			invcelestialshard				oskill	Magic Mastery	1	1	allskills		1	1	red-mag		10	20	res-mag-max		1	3	dmg-mag		175	225	levelreq		20	20																										0
Demonic Voidstone	76	100	1			1	1	92	50	jew	Jewel		10	40000	blac			invdemonicvoidstone				oskill	Claw Mastery	1	10	allskills		1	1	red-dmg%		1	5	deadly		2	10	levelreq		20	20	oskill	Wind Mastery	1	1																										0
Kenji's Winged Arrows	77	0	1			8	1	25	18	aq2	Arrows		8	20000	oran	oran						noconsume		100	100	dmg%		50	100	swing2		20	30	dex		25	50	move2		40	50	regen		100	200																										0
Delthanes' Enchanted Bolts	78	0	1			8	1	25	18	cq2	Bolts		8	20000	blac	blac						noconsume		100	100	hit-skill	Fire Surge	25	5	hit-skill	Cold Surge	25	5	hit-skill	Lightning Surge	25	5	mag%		50	100	allskills		1	1	swing2		40	60																						0
Sting of the Scorpion King	79	0	1			6	1	35	28	aq2	Arrows		8	20000	lgrn	lgrn						noconsume		100	100	allskills		1	1	oskill	Venom	10	20	swing1		50	50	att		300	500	pierce-pois		10	15	enepercent		10	15	pierce		50	50	hit-skill	Poison Mastery	1	30														0
Pandora's Quiver	80	0	1			6	1	35	28	cq2	Bolts		8	20000	bwht	bwht						noconsume		100	100	allskills		1	1	mag%		50	100	gold%		50	100	kill-skill	Freezing Arrow	10	30	kill-skill	Ice Arrow	10	30	kill-skill	Immolation Arrow	10	30	kill-skill	Fire Arrow	10	30	hit-skill	Lower Resist	20	30	enr		-30	-30										0
Quiver of Prince Ashitaka	81	0	1			4	1	40	36	aq2	Arrows		10	30000	cblu	cblu						noconsume		100	100	allskills		1	1	skilltab	0	1	2	pierce-fire		10	15	pierce-cold		10	15	pierce-ltng		10	15	pierce-pois		10	15	mana-on-striking		1	2	deadly		25	50														0
Casca's Deadly Bolts	82	0	1			4	1	40	36	cq2	Bolts		10	30000	cred	cred						noconsume		100	100	allskills		1	1	skilltab	0	1	1	swing1		20	30	str		50	100	dmg-ac		-10	-10	hit-skill	Amplify Damage	5	30	att		50	200	dmg/lvl	8																0
Arrows of the Ice Queen	83	0	1			3	1	50	45	aq2	Arrows		10	30000	dblu	dblu						noconsume		100	100	allskills		1	2	dex		25	50	dmg-cold	250	300	400	dmg-cold/lvl	48			pierce-cold		10	20	oskill	Cold Arrow	5	10	oskill	Cold Mastery	1	1	mana-kill		10	30														0
Infernal Apocalypse	84	0	1			3	1	50	45	cq2	Bolts		10	30000	dred	dred						noconsume		100	100	allskills		2	2	swing1		40	40	str		25	50	dex		25	50	dmg-fire		400	500	pierce-fire		15	30	dmg-fire/lvl	48			kill-skill	Fire Surge	17	40														0
Legolas' Quiver	85	0	1			2	1	60	54	aq2	Arrows		12	40000	cgrn	cgrn						noconsume		100	100	hit-skill	Magic Enhanced Arrow	12	60	dmg-min		25	50	dmg-demon		300	400	dmg-undead		300	400	dexpercent		10	30	pierce		40	80	att		200	400																		0
Borgoff's Bolts	86	0	1			2	1	60	54	cq2	Bolts		12	40000	bwht	bwht						noconsume		100	100	hit-skill	Lightning Surge	10	50	pierce-ltng		10	30	vitpercent		10	30	hp		100	200	lightningskill		1	3	ltng-min		1	2	ltng-max		500	1000																		0
Tanaris' Judgement	87	0	1			1	1	92	70	aq2	Arrows		12	40000				tanaris				noconsume		100	100	pierce-ltng		20	30	hit-skill	Lightning Enhanced Arrow	10	50	kill-skill	Judgement Proc	5	40	oskill	Lightning Strafe	1	30	dmg-max		1	200	pierce		100	100	life-on-striking		1	2																		0
Daedalus' Bolts	88	0	1			1	1	92	70	cq2	Bolts		12	40000				daedalus				noconsume		100	100	hit-skill	Headhunter Physical Damage	1	1	deadly		50	100	strpercent		20	40	heal-kill		50	100	reduce-ac		25	50	att		100	200	hp%		10	20																		0
Hijikata's Heart-blood	89	100	1			1	1	10	12	cix	Hachigane		6	10000	blac	blac						tinkerflag2		25	35	ac%		300	400	lifesteal		6	8	oskill	Sword Mastery	4	10	oskill	Critical Strike	4	10	addxp		3	5	balance1		20	20	mana/lvl	6			red-dmg%		10	10														0
The Diamond Hairband	90	100	1			1	1	20	30	ci0	Circlet		7	15000	bwht			invci0				tinkerflag2		25	35	res-all		20	40	red-dmg		5	10	red-mag		4	8	ac/lvl	16			gold%		100	150	mag%		100	150	res-all-max		5	5																		0
Zan-Esus' Commitment	91	100	1			1	1	40	40	ci1	Coronet		9	25000	cblu	cblu						tinkerflag2		25	35	allskills		1	1	cast3		20	30	mana%		30	50	hp		30	60	oskill	Warmth	5	10	spell-damage		15	30																						0
Lunar Charm	92	100	1			1	1	50	60	ci2	Tiara		10	30000	lgry			invlunarcharm				tinkerflag2		25	35	rip		1	1	dmg-undead		150	300	dmg-demon		150	300	hit-skill	Evade	1	40	extra-mag2		10	30	res-all		30	50	ac%		200	300	kill-skill	Magic Surge	5	50														0
Heart of Jewels	93	100	1			1	1	60	70	ci3	Diadem		11	35000	lpur	lpur		invci3				tinkerflag2		25	35	res-all		30	40	res-all-max		3	5	allskills		1	2	all-stats		20	40	gold%		75	150	mag%		75	150	cast2		20	40	red-mag		10	20	sock		1	2										0
Krok's Basher	94	0	1			1	1	4	5	hax	Hand Axe		6	10000	dyel	dyel		invhaxu				tinkerflag2		25	35	dmg%		125	200	crush		10	30	swing1		15	15	dmg/lvl	8			res-pois-len		50	50	res-all		10	10	oskill	Stun	1	1	att		60	60	att/lvl	4												0
Treefeller	95	0	1			1	1	12	9	axe	Axe		7	15000	dgrn	dgrn		invaxeu				tinkerflag2		25	35	dmg/lvl	8			dmg-max		20	40	crush		20	30	swing2		-30	-30	dmg%		200	300	ease		150	150	str		25	50																		0
