index	name	version	PCode2a	PParam2a	PMin2a	PMax2a	PCode2b	PParam2b	PMin2b	PMax2b	PCode3a	PParam3a	PMin3a	PMax3a	PCode3b	PParam3b	PMin3b	PMax3b	PCode4a	PParam4a	PMin4a	PMax4a	PCode4b	PParam4b	PMin4b	PMax4b	PCode5a	PParam5a	PMin5a	PMax5a	PCode5b	PParam5b	PMin5b	PMax5b	FCode1	FParam1	FMin1	FMax1	FCode2	FParam2	FMin2	FMax2	FCode3	FParam3	FMin3	FMax3	FCode4	FParam4	FMin4	FMax4	FCode5	FParam5	FMin5	FMax5	FCode6	FParam6	FMin6	FMax6	FCode7	FParam7	FMin7	FMax7	FCode8	FParam8	FMin8	FMax8	*eol
Aanna's Battle Dress	Aanna's Battle Dress	0	hp%		20	20	mana%		20	20	dmg%		100	100																					ama		4	4	res-all		50	50	red-mag		15	15	red-dmg%		15	15	dmg-min		60	60	all-stats		15	15	addxp		10	10	hit-skill	Amplify Damage	3	50	0
Alaziel's Abstraction	Alaziel's Abstraction	0	mana-kill		8	8	heal-kill		8	8	dmg-to-mana		50	50																					ama		4	4	crush		30	30	res-all		50	50	move3		20	20	hp%		15	15	all-stats		15	15	mag%		100	100	kill-skill	Fire Claws	17	50	0
Noir's Tranquility	Noir's Tranquility	0	dmg%		75	75	regen		15	15	regen-mana		25	25																					ama		4	4	res-all		50	50	mag%		125	125	manasteal		6	6	lifesteal		6	6	all-stats		20	20	skilltab	0	1	1	hit-skill	Apocalypse	1	40	0
Milea's Majesty	Milea's Majesty	0	ac		500	500	dmg%		200	200																									ama		4	4	mag%		125	125	res-all		60	60	dmg-min		50	50	lifesteal		9	9	all-stats		20	20	addxp		10	10	aura	Conviction	35	35	0
Infernal Tools-Nec	Infernal Tools-Nec	0	hp%		10	10	mana%		10	10																									nec		1	1	skilltab	8	2	2	res-all		20	20	regen-mana		50	50	extra-pois		25	25	cast1		20	20	all-stats		10	10	addxp		10	10	0
Rathol's Disease	Rathol's Disease	0	dmg-mag		20	25	res-pois-len		75	75																									nec		3	3	res-all		30	30	mag%		50	50	gethit-skill	Poison Nova	33	10	swing2		40	40	all-stats		10	10	extra-pois		30	30					0
Wrathamon's Omens	Wrathamon's Omens	0	hp%		25	25	mana%		25	25	mana-kill		20	20	heal-kill		20	20																	nec		4	4	res-all		50	50	mag%		100	100	all-stats		27	27	att/lvl	24			att-skill	Freezing Claws Proc	33	40	aura	Cold Pierce Aura	25	25	heal-kill		50	50	0
The Lich's Form	The Lich's Form	0	hp%		20	20	mana%		20	20	regen		20	20	regen-mana		75	75																	nec		5	5	res-all-max		5	5	res-all		50	50	mana%		20	20	hp%		20	20	addxp		10	10	all-stats		20	20	kill-skill	Fist of the Heavens	25	50	0
Nupraptor's Keep	Nupraptor's Keep	0	mana-kill		25	25	heal-kill		25	25																									nec		5	5	block		25	25	res-all		50	50	nofreeze		1	1	mag%		100	100	cast3		30	30	all-stats		25	25	oskill	Poison Mastery Passive	1	1	0
Lim-Dul's Legion	Lim-Dul's Legion	0	regen		15	15	regen-mana		75	75	hp%		20	20	mana%		20	20																	nec		5	5	res-all-max		5	5	res-all		40	40	cast3		30	30	all-stats		20	20	oskill	Elemental Form	1	1	oskill	Ice Explosion	40	40	oskill	Cold Mastery	3	3	0
Ordnance of the Dark Brotherhood	Ordnance of the Dark Brotherhood	0	move3		40	40	cast3		40	40																									nec		5	5	res-all		60	60	mag%		150	150	all-stats		35	35	addxp		10	10	ac		3000	3000	extra-ele		100	100	gethit-skill	Cyclone Armor	5	50	0
Berserker's Garb	Berserker's Garb	0	hp%		10	10	mana%		10	10																									bar		1	1	swing2		20	20	res-all		30	30	dmg-norm		10	12	move2		20	20	all-stats		10	10	addxp		10	10					0
Messerschmidt's Rule	Messerschmidt's Rule	0	hp%		20	20	red-dmg%		15	15																									bar		3	3	oskill	Enchant	10	10	res-all		30	30	swing2		40	40	att-skill	Killer Scythe Proc	33	1	balance2		20	20	all-stats		10	10	mag%		75	75	0
Kain's Means of Destruction	Kain's Means of Destruction	0	swing2		25	25	mag%		75	75	red-dmg		10	10	red-mag		10	10																	bar		5	5	res-all		50	50	regen		20	20	regen-mana		40	40	dmg-min		40	40	all-stats		20	20	hit-skill	Magic Enhanced Axe	15	30	hit-skill	Magic Brand	15	1	0
Krakerag's Rage	Krakerag's Rage	0	hp%		15	15	mana%		15	15																									bar		3	3	res-all		40	40	swing3		30	30	red-dmg%		15	15	all-stats		15	15	mag%		100	100	oskill	Wearwolf	3	3	oskill	Fury	15	15	0
Darkshade's Ruin	Darkshade's Ruin	0	hp%		40	40	dex		25	25	dmg-max		120	120	att/lvl	12																			bar		5	5	res-all		65	65	mag%		150	150	dmg-min		50	50	all-stats		20	20	addxp		10	10	oskill	Elemental Fury	30	30	regen-mana		750	750	0
Sarevok's Sacrilege	Sarevok's Sacrilege	0	hp%		25	25	mana%		25	25																									bar		3	3	skilltab	12	2	2	res-all		50	50	all-stats		25	25	mag%		100	100	hit-skill	Buckshot	1	45	oskill	Blade Nova	3	3	gethit-skill	Taunt	17	60	0
Hurja's Harmonic Rage	Hurja's Harmonic Rage	0	hp%		25	25	mana%		25	25																									bar		3	3	swing3		40	40	res-all		70	70	mag%		150	150	ac		2000	2000	all-stats		25	25	hit-skill	Magic Brand	15	1	hit-skill	Wind Brand	15	1	0
Milabrega's Regalia-Pal	Milabrega's Regalia-Pal	0	hp%		10	10	mana%		10	10																									pal		1	1	swing2		20	20	res-all		20	20	lifesteal		10	10	att/lvl	6			ac		250	250	all-stats		10	10	addxp		10	10	0
Tyrael's Sanctuary_old	Tyrael's Sanctuary	0	res-all-max		10	10	crush		15	15																									pal		4	4	mag%		50	50	res-all		30	30	state	tyraelset	1	1	regen		10	10	regen-mana		30	30	all-stats		10	10	swing2		25	25	0
Anduin's Honor	Anduin's Honor	0	hp%		15	15	mana%		15	15																									pal		3	3	block		20	20	res-all		40	40	regen		15	15	lifesteal		9	9	manasteal		9	9	all-stats		15	15	mag%		75	75	0
Malek's Charge	Malek's Charge	0	hp%		20	20	mana%		20	20	lifesteal		10	10	manasteal		10	10																	pal		6	6	dmg%		100	100	res-all		50	50	addxp		10	10	all-stats		25	25	mag%		150	150	pierce-ltng		40	40	skill	Zeal	20	20	0
Lancelot's Courage	Lancelot's Courage	0	swing1		30	30	dmg-max		120	120																									pal		5	5	res-all		40	40	dmg%		75	75	all-stats		20	20	mag%		100	100	hit-skill	Fire Enhanced Axe	10	20	hit-skill	Cold Enhanced Axe	10	20	hit-skill	Lightning Enhanced Axe	10	20	0
Griffith's Cunning	Griffith's Cunning	0	skill	Judgement	5	5	skill	Conviction	5	5	dmg%		50	50	skilltab	11	2	2																	pal		5	5	ac		750	750	res-all		50	50	crush		30	30	move3		30	30	all-stats		30	30	mag%		100	100	oskill	Bash	40	40	0
Darien's Glory	Darien's Glory	0	hp%		25	25	mana%		25	25																									pal		4	4	mag%		150	150	res-all		50	50	all-stats		25	25	addxp		10	10	gethit-skill	Fist of the Heavens	10	40	gethit-skill	Holy Bolt	20	40	gethit-skill	Blessed Hammer	20	40	0
Arcanna's Tricks-Sor	Arcanna's Tricks-Sor	0	hp%		10	10	mana%		10	10																									sor		2	2	regen-mana		50	50	res-all		20	20	dmg-to-mana		30	30	hp		40	40	cast1		30	30	all-stats		10	10	addxp		10	10	0
Tara's Calling	Tara's Calling	0	hp%		10	10	mana%		10	10	abs-fire%		5	5	res-fire-max		10	10																	sor		4	4	skilltab	3	1	1	res-all		30	30	cast2		20	20	mana/lvl	12			gethit-skill	Nova	10	10	all-stats		10	10	mag%		75	75	0
Naj's Mastery	Naj's Mastery	0	ac		500	500	ac		1000	1000																									sor		5	5	mana%		50	50	res-all		40	40	addxp		10	10	red-dmg%		15	15	dmg-to-mana		50	50	all-stats		15	15	mag%		100	100	0
Divada's Trickery	Divada's Trickery	0	cast3		20	20	move3		20	20	kill-skill	Frost Nova	10	30	hp%		25	25																	sor		5	5	cast3		40	40	res-all		50	50	manasteal		20	20	all-stats		20	20	mag%		100	100	hit-skill	Frozen Blast	10	30	oskill	Hurricane	20	20	0
Raistlin's Salvation	Raistlin's Salvation	0	cast3		60	60	dmg-max		150	150	regen		20	20	regen-mana		60	60																	sor		5	5	oskill	Dodge	4	4	res-all		60	60	mana%		20	20	all-stats		20	20	mag%		150	150	skill	STwister	20	20	kill-skill	Wind Surge	100	20	0
Jade Accoutrement	Jade Accoutrement	0	mana%		20	20	kill-skill	Poison Explosion	25	60	mana%		20	20	kill-skill	Poison Nova	25	60																	sor		5	5	extra-pois		100	100	res-all		50	50	swing3		120	120	regen-mana		50	50	all-stats		20	20	mag%		200	200	pierce-pois		50	50	0
Arion's Augury	Arion's Augury	0	hp%		25	25	mana%		25	25																									sor		4	4	cast3		30	30	res-all		50	50	skilltab	4	2	2	all-stats		25	25	mag%		125	125	kill-skill	Claws of Thunder Discharge	33	60	oskill	Lightning Warp	30	30	0
Kashya's Survival Kit-N	Kashya's Survival Kit-N	0	hp		50	50	allskills		1	1																									allskills		1	1	hp%		30	30	res-all-max		5	5	red-dmg		10	10	thorns		200	200	all-stats		15	15									0
Greiz's Desert Pride-N	Greiz's Desert Pride-N	0	hp		50	50	allskills		1	1																									allskills		1	1	hp%		20	20	res-all-max		5	5	red-dmg		10	10	thorns		200	200	all-stats		15	15									0
Asheara's Iron Wolf Division-N	Asheara's Iron Wolf Division-N	0	hp		50	50	allskills		1	1																									allskills		1	1	hp%		25	25	res-all-max		5	5	red-dmg		10	10	oskill	Fire Mastery	1	1	oskill	Lightning Mastery	1	1	oskill	Cold Mastery	1	1					0
Qual-Kehk's Barbaric Gear-N	Qual-Kehk's Barbaric Gear-N	0	hp		50	50	allskills		1	1																									allskills		1	1	hp%		20	20	res-all-max		5	5	red-dmg		10	10	thorns		200	200	all-stats		15	15									0
Kashya's Survival Kit-NM	Kashya's Survival Kit-NM	0	hp		75	75	allskills		1	1																									allskills		2	2	hp%		30	30	res-all-max		7	7	red-dmg		15	15	thorns		400	400	all-stats		20	20									0
Greiz's Desert Pride-NM	Greiz's Desert Pride-NM	0	hp		75	75	allskills		1	1																									allskills		2	2	hp%		20	20	res-all-max		7	7	red-dmg		15	15	thorns		400	400	all-stats		20	20									0
Asheara's Iron Wolf Division-NM	Asheara's Iron Wolf Division-NM	0	hp		75	75	allskills		1	1																									allskills		2	2	hp%		25	25	res-all-max		7	7	red-dmg		15	15	oskill	Fire Mastery	2	2	oskill	Lightning Mastery	1	1	oskill	Cold Mastery	1	1					0
Qual-Kehk's Barbaric Gear-NM	Qual-Kehk's Barbaric Gear-NM	0	hp		75	75	allskills		1	1																									allskills		2	2	hp%		20	20	res-all-max		7	7	red-dmg		15	15	thorns		400	400	all-stats		20	20									0
Kashya's Survival Kit-H	Kashya's Survival Kit-H	0	hp		100	100	allskills		1	1																									allskills		3	3	hp%		30	30	res-all-max		10	10	red-dmg		20	20	thorns		600	600	all-stats		25	25									0
Greiz's Desert Pride-H	Greiz's Desert Pride-H	0	hp		100	100	allskills		1	1																									allskills		3	3	hp%		20	20	res-all-max		10	10	red-dmg		20	20	thorns		600	600	all-stats		25	25									0
Asheara's Iron Wolf Division-H	Asheara's Iron Wolf Division-H	0	hp		100	100	allskills		1	1																									allskills		3	3	hp%		25	25	res-all-max		10	10	red-dmg		20	20	oskill	Fire Mastery	3	3	oskill	Lightning Mastery	1	1	oskill	Cold Mastery	1	1					0
Qual-Kehk's Barbaric Gear-H	Qual-Kehk's Barbaric Gear-H	0	hp		100	100	allskills		1	1																									allskills		3	3	hp%		20	20	res-all-max		10	10	red-dmg		20	20	thorns		600	600	all-stats		25	25									0
Expansion																																																																			0
Death's Disguise-Ass	Death's Disguise-Ass	100	hp%		10	10	mana%		10	10																									ass		1	1	swing2		30	30	res-all		28	28	lifesteal		8	8	manasteal		11	11	all-stats		10	10	addxp		10	10					0
Vega's Elegance	Vega's Elegance	100	dex		40	40	vit		20	20	nofreeze		1	1	res-pois-len		75	75																	ass		4	4	res-all		30	30	skilltab	20	1	1	ac		200	200	all-stats		15	15	mag%		75	75									0
Motoko's Captivation	Motoko's Captivation	100	hp		25	25	mana		25	25																									ass		3	3	dmg%		50	50	res-all		30	30	lifesteal		10	10	manasteal		10	10	ac		300	300	all-stats		10	10					0
Alora's Shadow	Alora's Shadow	100	swing3		40	40	dmg%		200	200	hp%		15	15	mana%		15	15																	ass		4	4	red-dmg		16	16	res-all		50	50	manasteal		18	18	lifesteal		18	18	gethit-skill	Whirlpool Proc	100	20	all-stats		15	15	addxp		10	10	0
Sascha's Jaded Kiss	Sascha's Jaded Kiss	100	regen		25	25	regen-mana		50	50	move3		30	30	cast3		30	30																	ass		4	4	mana%		200	200	res-all		60	60	ac		400	400	dmg%		100	100	dmg-max		120	120	all-stats		30	30	oskill	Energy Shield	40	40	0
Ihsan's Shade	Ihsan's Shade	100	red-dmg%		15	15	ac		500	500	mana-kill		10	10	heal-kill		10	10																	ass		4	4	res-all		50	50	dmg%		75	75	str		60	60	crush		35	35	all-stats		20	20	addxp		10	10	kill-skill	Spike Nova Magic	25	40	0
Borik's Deceit	Borik's Deceit	100	gethit-skill	Shuriken Trap	17	40	oskill	Ice Blink	40	40																									ass		4	4	res-all		75	75	mag%		125	125	ac		1000	1000	dmg%		150	150	all-stats		20	20	dmg/lvl	12			att-skill	Freezing Claws Proc	33	45	0
Cow King's Steels	Cow King's Steels	100	res-pois		100	100	oskill	Spirit of Nature	20	20	hit-skill	Inner Sight	3	40																					stam		400	400	str		80	80	gold%		400	400	mag%		400	400	gethit-skill	Super Nova	2	45	swing3		120	120	allskills		6	6	att-skill	Judgement Proc	25	40	0
Hsarus' Defense-Dru	Hsarus' Defense-Dru	100	hp%		10	10	mana%		10	10																									dru		2	2	dmg-undead		100	100	res-all		28	28	lifesteal		10	10	manasteal		10	10	hp/lvl	12			all-stats		10	10	addxp		10	10	0
Blackwing's Impudence	Blackwing's Impudence	100	hp%		10	10	mana%		10	10	abs-cold%		5	5	nofreeze		1	1																	dru		4	4	res-cold-max		10	10	res-all		40	40	ac		200	200	red-dmg		15	15	extra-cold		35	35	all-stats		15	15	mag%		75	75	0
Danarak's Divinity	Danarak's Divinity	100	hp%		15	15	mana%		15	15																									dru		3	3	res-all		40	40	manasteal		15	15	regen		500	500	move3		30	30	all-stats		15	15	mag%		100	100	att-skill	Lower Resist	33	30	0
Merlin's Legacy	Merlin's Legacy	100	hp%		20	20	mana%		20	20	cast3		20	20	regen-mana		50	50																	dru		4	4	att%/lvl	7			res-all		50	50	mana%		30	30	skilltab	17	1	1	addxp		10	10	all-stats		15	15	mag%		100	100	0
Nature's Passage	Nature's Passage	100	balance3		30	30	move3		30	30	cast3		30	30	swing3		30	30																	dru		4	4	res-all		50	50	manasteal		12	12	lifesteal		12	12	red-dmg		30	30	all-stats		20	20	mag%		125	125	oskill	Emberquake	5	5	0
Jaheira's Tenacity	Jaheira's Tenacity	100	hp%		20	20	mana%		20	20	cast3		25	25	swing3		25	25																	dru		4	4	res-all		50	50	lifesteal		12	12	dmg-min		45	45	addxp		10	10	all-stats		20	20	mag%		150	150	pierce		150	150	0
Nature's Rule	Nature's Rule	100	hp%		25	25	mana%		25	25																									dru		4	4	res-all		50	50	red-mag		25	25	swing3		50	50	all-stats		25	25	mag%		150	150	oskill	Spirit of Nature Mastery	20	20	att-skill	Fire Enhanced Fury	33	30	0
Tyrael's Sanctuary	Tyrael's Sanctuary	0	res-all-max		10	10	crush		15	15																									pal		4	4	mag%		50	50	res-all		30	30	state	tyraelset	1	1	regen		10	10	regen-mana		30	30	all-stats		10	10	swing2		25	25	0
