Hireling	*SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Dmg-Min	Dmg-Max	Dmg/Lvl	ResistFire	ResistFire/Lvl	ResistCold	ResistCold/Lvl	ResistLightning	ResistLightning/Lvl	ResistPoison	ResistPoison/Lvl	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	HiringMaxLevelDifference	resurrectcostmultiplier	resurrectcostdivisor	resurrectcostmax	equivalentcharclass
Rogue Scout	Elemental - Normal	0	4	271	1	3	85	150	merc01	merc41	3125	65	1970	68	1720	34	152	12	218	18	1490	36	70	74	10	147	5	147	5	147	5	147	5	farw	10	Immolation Arrow	4	70	0	25	20	Ice Arrow	4	50	0	20	20	Freezing Arrow	4	60	0	23	20	Inner Sight	4	20	0	25	20	Sharpened Focus	10	0	0	25	20	Pierce	10	0	0	25	20	5	10	2	50000	ama
Rogue Scout	Physical - Normal	0	5	271	1	3	85	150	merc01	merc41	3500	65	1970	68	1720	34	152	12	218	18	1490	36	70	74	10	147	5	147	5	147	5	147	5	carw	10	Multiple Shot	4	70	0	25	20	Tornado Shot	4	70	0	23	20	Legendary Arrow	4	70	0	20	20	Inner Sight	4	20	0	25	20	Sharpened Focus	10	0	0	25	20	Pierce	10	0	0	25	20	5	10	2	50000	ama
Rogue Scout	Elemental - Normal	100	0	271	1	1	10	150	merc01	merc41	25	65	350	25	250	30	40	12	50	18	50	12	3	7	6	20	8	20	8	20	8	20	8	farw	110	Immolation Arrow	4	70	0	3	20	Ice Arrow	4	50	0	1	20	Freezing Arrow	4	60	0	2	20	Inner Sight	4	20	0	5	20	Sharpened Focus	10	0	0	5	20	Pierce	10	0	0	5	20	1	10	2	50000	ama
Rogue Scout	Elemental - Normal	100	0	271	1	1	40	150	merc01	merc41	25	65	1106	46	1160	32	85	12	117	18	410	24	25	29	8	80	6	80	6	80	6	80	6	farw	60	Immolation Arrow	4	70	0	15	20	Ice Arrow	4	50	0	9	20	Freezing Arrow	4	60	0	12	20	Inner Sight	4	20	0	15	20	Sharpened Focus	10	0	0	15	20	Pierce	10	0	0	15	20	1	10	2	50000	ama
Rogue Scout	Elemental - Normal	100	0	271	1	1	85	150	merc01	merc41	25	65	1970	68	1720	34	152	12	218	18	1490	36	70	74	10	147	5	147	5	147	5	147	5	farw	10	Immolation Arrow	4	70	0	25	20	Ice Arrow	4	50	0	20	20	Freezing Arrow	4	60	0	23	20	Inner Sight	4	20	0	25	20	Sharpened Focus	10	0	0	25	20	Pierce	10	0	0	25	20	1	10	2	50000	ama
Rogue Scout	Physical - Normal	100	1	271	1	1	10	150	merc01	merc41	37	65	350	25	250	30	40	12	50	18	50	12	3	7	6	20	8	20	8	20	8	20	8	carw	110	Multiple Shot	4	70	0	3	20	Tornado Shot	4	70	0	2	20	Legendary Arrow	4	70	0	1	20	Inner Sight	4	20	0	5	20	Sharpened Focus	10	0	0	5	20	Pierce	10	0	0	5	20	1	10	2	50000	ama
Rogue Scout	Physical - Normal	100	1	271	1	1	40	150	merc01	merc41	37	65	1106	46	1160	32	85	12	117	18	410	24	25	29	8	80	6	80	6	80	6	80	6	carw	60	Multiple Shot	4	70	0	15	20	Tornado Shot	4	70	0	12	20	Legendary Arrow	4	70	0	9	20	Inner Sight	4	20	0	15	20	Sharpened Focus	10	0	0	15	20	Pierce	10	0	0	15	20	1	10	2	50000	ama
Rogue Scout	Physical - Normal	100	1	271	1	1	85	150	merc01	merc41	37	65	1970	68	1720	34	152	12	218	18	1490	36	70	74	10	147	5	147	5	147	5	147	5	carw	10	Multiple Shot	4	70	0	25	20	Tornado Shot	4	70	0	23	20	Legendary Arrow	4	70	0	20	20	Inner Sight	4	20	0	25	20	Sharpened Focus	10	0	0	25	20	Pierce	10	0	0	25	20	1	10	2	50000	ama
Rogue Scout	Elemental - Normal	100	2	271	1	2	40	150	merc01	merc41	1500	65	1106	46	1160	32	85	12	117	18	410	24	25	29	8	80	6	80	6	80	6	80	6	farw	60	Immolation Arrow	4	70	0	15	20	Ice Arrow	4	50	0	9	20	Freezing Arrow	4	60	0	12	20	Inner Sight	4	20	0	15	20	Sharpened Focus	10	0	0	15	20	Pierce	10	0	0	15	20	1	10	2	50000	ama
Rogue Scout	Elemental - Normal	100	2	271	1	2	85	150	merc01	merc41	1500	65	1970	68	1720	34	152	12	218	18	1490	36	70	74	10	147	5	147	5	147	5	147	5	farw	10	Immolation Arrow	4	70	0	25	20	Ice Arrow	4	50	0	20	20	Freezing Arrow	4	60	0	23	20	Inner Sight	4	20	0	25	20	Sharpened Focus	10	0	0	25	20	Pierce	10	0	0	25	20	1	10	2	50000	ama
Rogue Scout	Physical - Normal	100	3	271	1	2	40	150	merc01	merc41	1875	65	1106	46	1160	32	85	12	117	18	410	24	25	29	8	80	6	80	6	80	6	80	6	carw	60	Multiple Shot	4	70	0	15	20	Tornado Shot	4	70	0	12	20	Legendary Arrow	4	70	0	9	20	Inner Sight	4	20	0	15	20	Sharpened Focus	10	0	0	15	20	Pierce	10	0	0	15	20	1	10	2	50000	ama
Rogue Scout	Physical - Normal	100	3	271	1	2	85	150	merc01	merc41	1875	65	1970	68	1720	34	152	12	218	18	1490	36	70	74	10	147	5	147	5	147	5	147	5	carw	10	Multiple Shot	4	70	0	25	20	Tornado Shot	4	70	0	23	20	Legendary Arrow	4	70	0	20	20	Inner Sight	4	20	0	25	20	Sharpened Focus	10	0	0	25	20	Pierce	10	0	0	25	20	1	10	2	50000	ama
Rogue Scout	Elemental - Normal	100	4	271	1	3	85	150	merc01	merc41	3125	65	1970	68	1720	34	152	12	218	18	1490	36	70	74	10	147	5	147	5	147	5	147	5	farw	10	Immolation Arrow	4	70	0	25	20	Ice Arrow	4	50	0	20	20	Freezing Arrow	4	60	0	23	20	Inner Sight	4	20	0	25	20	Sharpened Focus	10	0	0	25	20	Pierce	10	0	0	25	20	1	10	2	50000	ama
Rogue Scout	Physical - Normal	100	5	271	1	3	85	150	merc01	merc41	3500	65	1970	68	1720	34	152	12	218	18	1490	36	70	74	10	147	5	147	5	147	5	147	5	carw	10	Multiple Shot	4	70	0	25	20	Tornado Shot	4	70	0	23	20	Legendary Arrow	4	70	0	20	20	Inner Sight	4	20	0	25	20	Sharpened Focus	10	0	0	25	20	Pierce	10	0	0	25	20	1	10	2	50000	ama
Desert Mercenary	Comb-Normal	0	6	338	2	1	20	198	merca201	merca221	87	65	350	25	250	30	65	16	45	14	180	12	8	14	7	40	8	40	8	40	8	40	8	comb	25	Might	1	20	0	8	15	Fend	4	20	0	5	20	Spearstorm	4	40	0	3	20	Dance of Death	4	40	0	8	20													5	10	2	50000	pal
Desert Mercenary	Comb-Normal	0	6	338	2	1	50	198	merca201	merca221	87	65	1106	46	1160	32	125	16	97	14	540	24	34	40	9	100	6	100	6	100	6	100	6	comb	25	Might	1	20	0	17	15	Fend	4	20	0	14	20	Spearstorm	4	40	0	8	20	Dance of Death	4	40	0	17	20													5	10	2	50000	pal
Desert Mercenary	Comb-Normal	0	6	338	2	1	85	198	merca201	merca221	87	65	1970	68	1720	34	195	16	158	14	1380	36	73	79	11	152	5	152	5	152	5	152	5	comb	25	Might	1	20	0	27	15	Fend	4	20	0	24	20	Spearstorm	4	40	0	14	20	Dance of Death	4	40	0	27	20													5	10	2	50000	pal
Desert Mercenary	Def-Normal	0	7	338	2	1	20	198	merca201	merca221	87	65	350	25	250	30	65	16	45	14	180	12	8	14	7	40	8	40	8	40	8	40	8	def	25	Prayer	1	20	0	8	15	Fend	4	20	0	5	20	Concentrate	4	40	0	3	20	Dance of Death	4	40	0	8	20													5	10	2	50000	pal
Desert Mercenary	Def-Normal	0	7	338	2	1	50	198	merca201	merca221	87	65	1106	46	1160	32	125	16	97	14	540	24	34	40	9	100	6	100	6	100	6	100	6	def	25	Prayer	1	20	0	17	15	Fend	4	20	0	14	20	Concentrate	4	40	0	8	20	Dance of Death	4	40	0	17	20													5	10	2	50000	pal
Desert Mercenary	Def-Normal	0	7	338	2	1	85	198	merca201	merca221	87	65	1970	68	1720	34	195	16	158	14	1380	36	73	79	11	152	5	152	5	152	5	152	5	def	25	Prayer	1	20	0	27	15	Fend	4	20	0	24	20	Concentrate	4	40	0	14	20	Dance of Death	4	40	0	27	20													5	10	2	50000	pal
Desert Mercenary	Off-Normal	0	8	338	2	1	20	198	merca201	merca221	87	65	350	25	250	30	65	16	45	14	180	12	8	14	7	40	8	40	8	40	8	40	8	off	25	Holy Fire	1	20	0	8	15	Zeal	4	20	0	5	20	Vengeance	4	40	0	3	20	Judgement	4	5	0	8	20													5	10	2	50000	pal
Desert Mercenary	Off-Normal	0	8	338	2	1	50	198	merca201	merca221	87	65	1106	46	1160	32	125	16	97	14	540	24	34	40	9	100	6	100	6	100	6	100	6	off	25	Holy Fire	1	20	0	17	15	Zeal	4	20	0	14	20	Vengeance	4	40	0	8	20	Judgement	4	5	0	17	20													5	10	2	50000	pal
Desert Mercenary	Off-Normal	0	8	338	2	1	85	198	merca201	merca221	87	65	1970	68	1720	34	195	16	158	14	1380	36	73	79	11	152	5	152	5	152	5	152	5	off	25	Holy Fire	1	20	0	27	15	Zeal	4	20	0	24	20	Vengeance	4	40	0	14	20	Judgement	4	5	0	27	20													5	10	2	50000	pal
Desert Mercenary	Comb-Nightmare	0	9	338	2	2	50	198	merca201	merca221	1975	65	1106	46	1160	32	125	16	97	14	540	24	34	40	9	100	6	100	6	100	6	100	6	comb	25	Fanaticism	1	20	0	4	15	Fend	4	20	0	14	20	Spearstorm	4	40	0	8	20	Dance of Death	4	40	0	17	20													5	10	2	50000	pal
Desert Mercenary	Comb-Nightmare	0	9	338	2	2	85	198	merca201	merca221	1975	65	1970	68	1720	34	195	16	158	14	1380	36	73	79	11	152	5	152	5	152	5	152	5	comb	25	Fanaticism	1	20	0	10	15	Fend	4	20	0	24	20	Spearstorm	4	40	0	14	20	Dance of Death	4	40	0	27	20													5	10	2	50000	pal
Desert Mercenary	Def-Nightmare	0	10	338	2	2	50	198	merca201	merca221	1975	65	1106	46	1160	32	125	16	97	14	540	24	34	40	9	100	6	100	6	100	6	100	6	def	25	Meditation	1	20	0	17	15	Zeal	4	20	0	14	20	Concentrate	4	40	0	8	20	Dance of Death	4	40	0	17	20													5	10	2	50000	pal
Desert Mercenary	Def-Nightmare	0	10	338	2	2	85	198	merca201	merca221	1975	65	1970	68	1720	34	195	16	158	14	1380	36	73	79	11	152	5	152	5	152	5	152	5	def	25	Meditation	1	20	0	27	15	Zeal	4	20	0	24	20	Concentrate	4	40	0	14	20	Dance of Death	4	40	0	27	20													5	10	2	50000	pal
Desert Mercenary	Off-Nightmare	0	11	338	2	2	50	198	merca201	merca221	1975	65	1106	46	1160	32	125	16	98	14	540	24	34	40	9	100	6	100	6	100	6	100	6	off	25	Holy Freeze	1	20	0	17	15	Zeal	4	20	0	14	20	Vengeance	4	40	0	8	20	Judgement	4	5	0	27	20													5	10	2	50000	pal
Desert Mercenary	Off-Nightmare	0	11	338	2	2	85	198	merca201	merca221	1975	65	1970	68	1720	34	195	16	97	14	1380	36	73	79	11	152	5	152	5	152	5	152	5	off	25	Holy Freeze	1	20	0	27	15	Zeal	4	20	0	24	20	Vengeance	4	40	0	14	20	Judgement	4	5	0	27	20													5	10	2	50000	pal
Desert Mercenary	Comb-Hell	0	12	338	2	3	85	198	merca201	merca221	3750	65	1970	68	1720	34	195	16	158	14	1380	36	73	79	11	152	5	152	5	152	5	152	5	comb	25	Conviction	1	20	0	10	15	Zeal	4	20	0	24	20	Vengeance	4	40	0	14	20	Judgement	4	30	0	27	20													5	10	2	50000	pal
Desert Mercenary	Def-Hell	0	13	338	2	3	85	198	merca201	merca221	3750	65	1970	68	1720	34	195	16	158	14	1380	36	73	79	11	152	5	152	5	152	5	152	5	def	25	Vigor	1	20	0	10	15	Fend	4	20	0	24	20	Concentrate	4	40	0	14	20	Dance of Death	4	40	0	27	20													5	10	2	50000	pal
Desert Mercenary	Off-Hell	0	14	338	2	3	85	198	merca201	merca221	3750	65	1970	68	1720	34	195	16	158	14	1380	36	73	79	11	152	5	152	5	152	5	152	5	off	25	Holy Shock	1	20	0	27	15	Fend	4	20	0	24	20	Spearstorm	4	40	0	14	20	Dance of Death	4	40	0	27	20													5	10	2	50000	pal
Desert Mercenary	Comb-Normal	100	6	338	2	1	20	198	merca201	merca221	87	65	350	25	250	30	65	16	45	14	180	12	8	14	7	40	8	40	8	40	8	40	8	comb	85	Might	1	20	0	8	15	Fend	4	20	0	5	20	Spearstorm	4	40	0	3	20	Dance of Death	4	40	0	8	20													1	10	2	50000	pal
Desert Mercenary	Comb-Normal	100	6	338	2	1	50	198	merca201	merca221	87	65	1106	46	1160	32	125	16	97	14	540	24	34	40	9	100	6	100	6	100	6	100	6	comb	50	Might	1	20	0	17	15	Fend	4	20	0	14	20	Spearstorm	4	40	0	8	20	Dance of Death	4	40	0	17	20													1	10	2	50000	pal
Desert Mercenary	Comb-Normal	100	6	338	2	1	85	198	merca201	merca221	87	65	1970	68	1720	34	195	16	158	14	1380	36	73	79	11	152	5	152	5	152	5	152	5	comb	10	Might	1	20	0	27	15	Fend	4	20	0	24	20	Spearstorm	4	40	0	14	20	Dance of Death	4	40	0	27	20													1	10	2	50000	pal
Desert Mercenary	Def-Normal	100	7	338	2	1	20	198	merca201	merca221	87	65	350	25	250	30	65	16	45	14	180	12	8	14	7	40	8	40	8	40	8	40	8	def	85	Prayer	1	20	0	8	15	Fend	4	20	0	5	20	Concentrate	4	40	0	3	20	Dance of Death	4	40	0	8	20													1	10	2	50000	pal
Desert Mercenary	Def-Normal	100	7	338	2	1	50	198	merca201	merca221	87	65	1106	46	1160	32	125	16	97	14	540	24	34	40	9	100	6	100	6	100	6	100	6	def	50	Prayer	1	20	0	17	15	Fend	4	20	0	14	20	Concentrate	4	40	0	8	20	Dance of Death	4	40	0	17	20													1	10	2	50000	pal
Desert Mercenary	Def-Normal	100	7	338	2	1	85	198	merca201	merca221	87	65	1970	68	1720	34	195	16	158	14	1380	36	73	79	11	152	5	152	5	152	5	152	5	def	10	Prayer	1	20	0	27	15	Fend	4	20	0	24	20	Concentrate	4	40	0	14	20	Dance of Death	4	40	0	27	20													1	10	2	50000	pal
Desert Mercenary	Off-Normal	100	8	338	2	1	20	198	merca201	merca221	87	65	350	25	250	30	65	16	45	14	180	12	8	14	7	40	8	40	8	40	8	40	8	off	85	Holy Fire	1	20	0	8	15	Zeal	4	20	0	5	20	Vengeance	4	40	0	3	20	Judgement	4	5	0	8	20													1	10	2	50000	pal
Desert Mercenary	Off-Normal	100	8	338	2	1	50	198	merca201	merca221	87	65	1106	46	1160	32	125	16	97	14	540	24	34	40	9	100	6	100	6	100	6	100	6	off	50	Holy Fire	1	20	0	17	15	Zeal	4	20	0	14	20	Vengeance	4	40	0	8	20	Judgement	4	5	0	17	20													1	10	2	50000	pal
Desert Mercenary	Off-Normal	100	8	338	2	1	85	198	merca201	merca221	87	65	1970	68	1720	34	195	16	158	14	1380	36	73	79	11	152	5	152	5	152	5	152	5	off	10	Holy Fire	1	20	0	27	15	Zeal	4	20	0	24	20	Vengeance	4	40	0	14	20	Judgement	4	5	0	27	20													1	10	2	50000	pal
Desert Mercenary	Comb-Nightmare	100	9	338	2	2	50	198	merca201	merca221	1975	65	1106	46	1160	32	125	16	97	14	540	24	34	40	9	100	6	100	6	100	6	100	6	comb	50	Fanaticism	1	20	0	4	15	Fend	4	20	0	14	20	Spearstorm	4	40	0	8	20	Dance of Death	4	40	0	17	20													1	10	2	50000	pal
Desert Mercenary	Comb-Nightmare	100	9	338	2	2	85	198	merca201	merca221	1975	65	1970	68	1720	34	195	16	158	14	1380	36	73	79	11	152	5	152	5	152	5	152	5	comb	10	Fanaticism	1	20	0	10	15	Fend	4	20	0	24	20	Spearstorm	4	40	0	14	20	Dance of Death	4	40	0	27	20													1	10	2	50000	pal
Desert Mercenary	Def-Nightmare	100	10	338	2	2	50	198	merca201	merca221	1975	65	1106	46	1160	32	125	16	97	14	540	24	34	40	9	100	6	100	6	100	6	100	6	def	50	Meditation	1	20	0	17	15	Zeal	4	20	0	14	20	Concentrate	4	40	0	8	20	Dance of Death	4	40	0	17	20													1	10	2	50000	pal
Desert Mercenary	Def-Nightmare	100	10	338	2	2	85	198	merca201	merca221	1975	65	1970	68	1720	34	195	16	158	14	1380	36	73	79	11	152	5	152	5	152	5	152	5	def	10	Meditation	1	20	0	27	15	Zeal	4	20	0	24	20	Concentrate	4	40	0	14	20	Dance of Death	4	40	0	27	20													1	10	2	50000	pal
Desert Mercenary	Off-Nightmare	100	11	338	2	2	50	198	merca201	merca221	1975	65	1106	46	1160	32	125	16	98	14	540	24	34	40	9	100	6	100	6	100	6	100	6	off	50	Holy Freeze	1	20	0	17	15	Zeal	4	20	0	14	20	Vengeance	4	40	0	8	20	Judgement	4	5	0	27	20													1	10	2	50000	pal
Desert Mercenary	Off-Nightmare	100	11	338	2	2	85	198	merca201	merca221	1975	65	1970	68	1720	34	195	16	97	14	1380	36	73	79	11	152	5	152	5	152	5	152	5	off	10	Holy Freeze	1	20	0	27	15	Zeal	4	20	0	24	20	Vengeance	4	40	0	14	20	Judgement	4	5	0	27	20													1	10	2	50000	pal
Desert Mercenary	Comb-Hell	100	12	338	2	3	85	198	merca201	merca221	3750	65	1970	68	1720	34	195	16	158	14	1380	36	73	79	11	152	5	152	5	152	5	152	5	comb	10	Conviction	1	20	0	10	15	Zeal	4	20	0	24	20	Vengeance	4	40	0	14	20	Judgement	4	30	0	27	20													1	10	2	50000	pal
Desert Mercenary	Def-Hell	100	13	338	2	3	85	198	merca201	merca221	3750	65	1970	68	1720	34	195	16	158	14	1380	36	73	79	11	152	5	152	5	152	5	152	5	def	10	Vigor	1	20	0	10	15	Fend	4	20	0	24	20	Concentrate	4	40	0	14	20	Dance of Death	4	40	0	27	20													1	10	2	50000	pal
Desert Mercenary	Off-Hell	100	14	338	2	3	85	198	merca201	merca221	3750	65	1970	68	1720	34	195	16	158	14	1380	36	73	79	11	152	5	152	5	152	5	152	5	off	10	Holy Shock	1	20	0	27	15	Fend	4	20	0	24	20	Spearstorm	4	40	0	14	20	Dance of Death	4	40	0	27	20													1	10	2	50000	pal
Eastern Sorceror	Fire-Normal	0	15	359	3	1	25	252	merca222	merca241	250	65	350	25	250	30	50	14	40	16	120	12	6	11	6	45	8	45	8	45	8	45	8	fire	1	Fire Damage Aura	1	10	0	4	15	Firestorm	7	50	0	6	12	Volcano	7	10	0	5	15	Flameburst	7	50	0	5	20													1	10	2	50000	sor
Eastern Sorceror	Fire-Normal	0	15	359	3	1	55	252	merca222	merca241	250	65	1106	46	1160	32	102	14	100	16	480	24	28	33	8	105	6	105	6	105	6	105	6	fire	1	Fire Damage Aura	1	10	0	9	15	Firestorm	7	50	0	17	12	Volcano	7	10	0	15	15	Flameburst	7	50	0	15	20													1	10	2	50000	sor
Eastern Sorceror	Fire-Normal	0	15	359	3	1	85	252	merca222	merca241	250	65	1970	68	1720	34	154	14	160	16	1200	36	60	66	10	150	5	150	5	150	5	150	5	fire	1	Fire Damage Aura	1	10	0	14	15	Firestorm	7	50	0	28	12	Volcano	7	10	0	25	15	Flameburst	7	50	0	25	20													1	10	2	50000	sor
Eastern Sorceror	Cold-Normal	0	16	359	3	1	25	252	merca222	merca241	375	65	350	25	250	30	50	14	40	16	120	12	6	11	6	45	8	45	8	45	8	45	8	cold	1	Cold Damage Aura	1	10	0	4	15	Whirlpool Hireling	7	50	0	6	12	Monsoon	7	10	0	5	15	Frozen Blast	7	50	0	5	20													1	10	2	50000	sor
Eastern Sorceror	Cold-Normal	0	16	359	3	1	55	252	merca222	merca241	375	65	1106	46	1160	32	102	14	100	16	480	24	28	33	8	105	6	105	6	105	6	105	6	cold	1	Cold Damage Aura	1	10	0	9	15	Whirlpool Hireling	7	50	0	17	12	Monsoon	7	10	0	15	15	Frozen Blast	7	50	0	15	20													1	10	2	50000	sor
Eastern Sorceror	Cold-Normal	0	16	359	3	1	85	252	merca222	merca241	375	65	1970	68	1720	34	154	14	160	16	1200	36	60	66	10	150	5	150	5	150	5	150	5	cold	1	Cold Damage Aura	1	10	0	14	15	Whirlpool Hireling	7	50	0	28	12	Monsoon	7	10	0	25	15	Frozen Blast	7	50	0	25	20													1	10	2	50000	sor
Eastern Sorceror	Ltng-Normal	0	17	359	3	1	25	252	merca222	merca241	250	65	350	25	250	30	50	14	40	16	120	12	6	11	6	45	8	45	8	45	8	45	8	ltng	1	Lightning Damage Aura	1	10	0	4	15	Zap	7	50	0	6	12	Storm Nexus	7	10	0	5	15	Conduit Hireling	7	50	0	5	20													1	10	2	50000	sor
Eastern Sorceror	Ltng-Normal	0	17	359	3	1	55	252	merca222	merca241	250	65	1106	46	1160	32	102	14	100	16	480	24	28	33	8	105	6	105	6	105	6	105	6	ltng	1	Lightning Damage Aura	1	10	0	9	15	Zap	7	50	0	17	12	Storm Nexus	7	10	0	15	15	Conduit Hireling	7	50	0	15	20													1	10	2	50000	sor
Eastern Sorceror	Ltng-Normal	0	17	359	3	1	85	252	merca222	merca241	250	65	1970	68	1720	34	154	14	160	16	1200	36	60	66	10	150	5	150	5	150	5	150	5	ltng	1	Lightning Damage Aura	1	10	0	14	15	Zap	7	50	0	28	12	Storm Nexus	7	10	0	25	15	Conduit Hireling	7	50	0	25	20													1	10	2	50000	sor
Eastern Sorceror	Fire-Nightmare	0	18	359	3	2	55	252	merca222	merca241	2375	65	1106	46	1160	32	102	14	100	16	480	24	28	33	8	105	6	105	6	105	6	105	6	fire	1	Fire Damage Aura	1	10	0	9	15	Firestorm	7	50	0	17	12	Volcano	7	10	0	15	15	Flameburst	7	50	0	15	20													5	10	2	50000	sor
